"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_lalt_limits","pdbc_pfx","Service Categories Amount Limits","Limit Prefix","char"
"dbo","cmc_lalt_limits","lalt_id","Service Categories Amount Limits","Limit ID","char"
"dbo","cmc_lalt_limits","lalt_amount","Service Categories Amount Limits","Limit Amount","money"
"dbo","cmc_lalt_limits","lalt_period","Service Categories Amount Limits","Limit Period","smallint"
"dbo","cmc_lalt_limits","lalt_rel_per_ind","Service Categories Amount Limits","N/A","char"
"dbo","cmc_lalt_limits","lalt_rel_type","Service Categories Amount Limits","Limit type","char"
"dbo","cmc_lalt_limits","lalt_amount_basis","Service Categories Amount Limits","Amount Basis","char"
"dbo","cmc_lalt_limits","excd_id","Service Categories Amount Limits","Explnation code","char"
"dbo","cmc_lalt_limits","lalt_lock_token","Service Categories Amount Limits","Lock Token","smallint"
"dbo","cmc_lalt_limits","atxr_source_id","Service Categories Amount Limits","Attachment Source Id","datetime"
"dbo","cmc_lalt_limits","sys_last_upd_dtm","Service Categories Amount Limits","Last Update Datetime","datetime"
"dbo","cmc_lalt_limits","sys_usus_id","Service Categories Amount Limits","Last Update User ID","varchar"
"dbo","cmc_lalt_limits","sys_dbuser_id","Service Categories Amount Limits","Last Update DBMS User ID","varchar"
