"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_lcad_cat_desc","lcat_id","Service Category Description","Category ID","char"
"dbo","cmc_lcad_cat_desc","lcat_desc","Service Category Description","Category Description","varchar"
"dbo","cmc_lcad_cat_desc","lcad_label","Service Category Description","Category Label","varchar"
"dbo","cmc_lcad_cat_desc","lcad_network_ind","Service Category Description","Network Status Indicator","char"
"dbo","cmc_lcad_cat_desc","lcad_amount_ind","Service Category Description","Category Amount Indicator","char"
"dbo","cmc_lcad_cat_desc","lcad_msg_memo","Service Category Description","Memo","varchar"
"dbo","cmc_lcad_cat_desc","lcad_alt_cat_ind","Service Category Description","Alternate Category Indicator","char"
"dbo","cmc_lcad_cat_desc","lcad_lock_token","Service Category Description","Lock Token","smallint"
"dbo","cmc_lcad_cat_desc","atxr_source_id","Service Category Description","Attachment Source Id","datetime"
"dbo","cmc_lcad_cat_desc","sys_last_upd_dtm","Service Category Description","Last Update Datetime","datetime"
"dbo","cmc_lcad_cat_desc","sys_usus_id","Service Category Description","Last Update User ID","varchar"
"dbo","cmc_lcad_cat_desc","sys_dbuser_id","Service Category Description","Last Update DBMS User ID","varchar"
