"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_lobd_line_bus","lobd_id","Line of Business Information Table","Line of Business ID","char"
"dbo","cmc_lobd_line_bus","lobd_mctr_type","Line of Business Information Table","Line of Business Type","char"
"dbo","cmc_lobd_line_bus","lobd_name","Line of Business Information Table","Line of Business Name","char"
"dbo","cmc_lobd_line_bus","lobd_addr1","Line of Business Information Table","Address Line One","char"
"dbo","cmc_lobd_line_bus","lobd_addr2","Line of Business Information Table","Address Line Two","char"
"dbo","cmc_lobd_line_bus","lobd_addr3","Line of Business Information Table","Address Line Three","char"
"dbo","cmc_lobd_line_bus","lobd_city","Line of Business Information Table","City","char"
"dbo","cmc_lobd_line_bus","lobd_state","Line of Business Information Table","State Code","char"
"dbo","cmc_lobd_line_bus","lobd_zip","Line of Business Information Table","Zip Code","char"
"dbo","cmc_lobd_line_bus","lobd_county","Line of Business Information Table","County","char"
"dbo","cmc_lobd_line_bus","lobd_ctry_cd","Line of Business Information Table","Country Code","char"
"dbo","cmc_lobd_line_bus","lobd_phone","Line of Business Information Table","Phone number","char"
"dbo","cmc_lobd_line_bus","lobd_phone_ext","Line of Business Information Table","Phone extension","char"
"dbo","cmc_lobd_line_bus","lobd_fax","Line of Business Information Table","Fax number","char"
"dbo","cmc_lobd_line_bus","lobd_fax_ext","Line of Business Information Table","Fax extension","char"
"dbo","cmc_lobd_line_bus","lobd_email","Line of Business Information Table","Email Internet Address","char"
"dbo","cmc_lobd_line_bus","lobd_pay_cl_meth","Line of Business Information Table","Claims Check Combining Indicator","char"
"dbo","cmc_lobd_line_bus","lobd_eob_copy_ind","Line of Business Information Table","EOB Copy Indicator","char"
"dbo","cmc_lobd_line_bus","lobd_ovp_excd_id","Line of Business Information Table","Overpayment Recovery Explanation Code","char"
"dbo","cmc_lobd_line_bus","acpe_id","Line of Business Information Table","Accounting Period Table ID","char"
"dbo","cmc_lobd_line_bus","pypy_id","Line of Business Information Table","Payor ID","char"
"dbo","cmc_lobd_line_bus","lobd_id_comm","Line of Business Information Table","Commisison payment Line of Business","char"
"dbo","cmc_lobd_line_bus","lobd_cr_red_ind","Line of Business Information Table","Capitation Payment Reductions Indicator","char"
"dbo","cmc_lobd_line_bus","lobd_pr_red_ind","Line of Business Information Table","Payment Reductions Indicator for a Provider","char"
"dbo","cmc_lobd_line_bus","lobd_sb_red_ind","Line of Business Information Table","Payment Reduction Indicator for Subscribers","char"
"dbo","cmc_lobd_line_bus","lobd_co_red_ind","Line of Business Information Table","Auto Overpayment Recovery","char"
"dbo","cmc_lobd_line_bus","lobd_pay_fsac_meth","Line of Business Information Table","Combined Check","char"
"dbo","cmc_lobd_line_bus","lobd_fsa_red_ind","Line of Business Information Table","Auto Overpayment Recovery","char"
"dbo","cmc_lobd_line_bus","lobd_pay_dis_meth","Line of Business Information Table","Combined Checks","char"
"dbo","cmc_lobd_line_bus","lobd_dis_red_ind","Line of Business Information Table","Auto Payment Recovery","char"
"dbo","cmc_lobd_line_bus","lobd_pay_vis_meth","Line of Business Information Table","Claim Payment Method for Vision Claims","char"
"dbo","cmc_lobd_line_bus","lobd_vis_red_ind","Line of Business Information Table","Vision Recovery Indicator","char"
"dbo","cmc_lobd_line_bus","lobd_lock_token","Line of Business Information Table","Lock Token","smallint"
"dbo","cmc_lobd_line_bus","atxr_source_id","Line of Business Information Table","Attachment Source Id","datetime"
"dbo","cmc_lobd_line_bus","sys_last_upd_dtm","Line of Business Information Table","Last Update Datetime","datetime"
"dbo","cmc_lobd_line_bus","sys_usus_id","Line of Business Information Table","Last Update User ID","varchar"
"dbo","cmc_lobd_line_bus","sys_dbuser_id","Line of Business Information Table","Last Update DBMS User ID","varchar"
"dbo","cmc_lobd_line_bus","lobd_tpa_ind_nvl","Line of Business Information Table","TPA Indicator","char"
