"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_lsnp_los_proc","pdbc_pfx","Length of Stay Data by Procedure Code","Benefit Component Prefix for Length of Stay by Procedure","char"
"dbo","cmc_lsnp_los_proc","icd9_ip_id","Length of Stay Data by Procedure Code","ICD-9 Procedure Code for Length of Stay by Procedure","char"
"dbo","cmc_lsnp_los_proc","lsnp_region","Length of Stay Data by Procedure Code","HCIA Length of Stay Region","char"
"dbo","cmc_lsnp_los_proc","lsnp_sing_mult_ind","Length of Stay Data by Procedure Code","Single/Multiple Diagnoses Indicator","char"
"dbo","cmc_lsnp_los_proc","lsnp_op_nonop_ind","Length of Stay Data by Procedure Code","Operated/Non-operated Indicator","char"
"dbo","cmc_lsnp_los_proc","lsnp_los_age_ind","Length of Stay Data by Procedure Code","Age Indicator","char"
"dbo","cmc_lsnp_los_proc","lsnp_los_pct","Length of Stay Data by Procedure Code","LOS Percentile/Average Indicator","char"
"dbo","cmc_lsnp_los_proc","lsnp_los_day","Length of Stay Data by Procedure Code","LOS Days","smallint"
"dbo","cmc_lsnp_los_proc","lsnp_lock_token","Length of Stay Data by Procedure Code","Lock Token","smallint"
"dbo","cmc_lsnp_los_proc","atxr_source_id","Length of Stay Data by Procedure Code","Attachment Source Id","datetime"
