"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_mame_master","mame_ck","Master Member Indicative Data","Master Member Contrived Key","int"
"dbo","cmc_mame_master","mame_id","Master Member Indicative Data","Master Member ID","char"
"dbo","cmc_mame_master","mame_sts","Master Member Indicative Data","Master Member Status","char"
"dbo","cmc_mame_master","mame_sts_dtm","Master Member Indicative Data","Status Date","datetime"
"dbo","cmc_mame_master","mame_id_name","Master Member Indicative Data","Short Name","char"
"dbo","cmc_mame_master","mame_last_name","Master Member Indicative Data","Last Name","varchar"
"dbo","cmc_mame_master","mame_first_name","Master Member Indicative Data","First Name","varchar"
"dbo","cmc_mame_master","mame_middle_name","Master Member Indicative Data","Middle Name","varchar"
"dbo","cmc_mame_master","mame_mid_init","Master Member Indicative Data","Middle Initial","char"
"dbo","cmc_mame_master","mame_maiden_name","Master Member Indicative Data","Maiden Name","varchar"
"dbo","cmc_mame_master","mame_paternal_name","Master Member Indicative Data","Paternal Name","varchar"
"dbo","cmc_mame_master","mame_maternal_name","Master Member Indicative Data","Maternal Name","varchar"
"dbo","cmc_mame_master","mame_title","Master Member Indicative Data","Title","varchar"
"dbo","cmc_mame_master","mame_title2","Master Member Indicative Data","Secondary Title","varchar"
"dbo","cmc_mame_master","mame_sex","Master Member Indicative Data","Gender","char"
"dbo","cmc_mame_master","mame_birth_dt","Master Member Indicative Data","Birth Date","datetime"
"dbo","cmc_mame_master","mame_death_dt","Master Member Indicative Data","Death Date","datetime"
"dbo","cmc_mame_master","mame_ssn","Master Member Indicative Data","Social Security Number","char"
"dbo","cmc_mame_master","mame_record_no","Master Member Indicative Data","Record Number","varchar"
"dbo","cmc_mame_master","mame_hicn","Master Member Indicative Data","Medicare Number","varchar"
"dbo","cmc_mame_master","mame_medcd_no","Master Member Indicative Data","Medicaid Number","varchar"
"dbo","cmc_mame_master","mame_fam_link_id","Master Member Indicative Data","Family Link ID","varchar"
"dbo","cmc_mame_master","mame_hist_link_id","Master Member Indicative Data","History Link ID","char"
"dbo","cmc_mame_master","mame_health_id","Master Member Indicative Data","Standard Unique Health ID","varchar"
"dbo","cmc_mame_master","mame_last_name_xlow","Master Member Indicative Data","Name Search case insensitive","char"
"dbo","cmc_mame_master","mame_mctr_lang","Master Member Indicative Data","Language","char"
"dbo","cmc_mame_master","mame_marital_status","Master Member Indicative Data","Marital Status","char"
"dbo","cmc_mame_master","mame_cell_phone","Master Member Indicative Data","Cell Phone","varchar"
"dbo","cmc_mame_master","mame_mctr_race","Master Member Indicative Data","Race Code","char"
"dbo","cmc_mame_master","mame_mctr_ethn","Master Member Indicative Data","Ethnicity Code","char"
"dbo","cmc_mame_master","mame_citizen_ind","Master Member Indicative Data","Citizenship Indicator","char"
"dbo","cmc_mame_master","mame_mctr_typ1","Master Member Indicative Data","User Classification 1","char"
"dbo","cmc_mame_master","mame_mctr_typ2","Master Member Indicative Data","User Classification 2","char"
"dbo","cmc_mame_master","mame_mctr_typ3","Master Member Indicative Data","User Classification 3","char"
"dbo","cmc_mame_master","mame_lock_token","Master Member Indicative Data","Lock Token","smallint"
"dbo","cmc_mame_master","atxr_source_id","Master Member Indicative Data","Attachment Source Id","datetime"
"dbo","cmc_mame_master","sys_last_upd_dtm","Master Member Indicative Data","Last Update Datetime","datetime"
"dbo","cmc_mame_master","sys_usus_id","Master Member Indicative Data","Last Update User ID","varchar"
"dbo","cmc_mame_master","sys_dbuser_id","Master Member Indicative Data","Last Update DBMS User ID","varchar"
