"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_matx_accum_txn","meme_ck","Member Accumulator Transaction Table","Member Contrived Key","int"
"dbo","cmc_matx_accum_txn","pdpd_acc_sfx","Member Accumulator Transaction Table","Accumulator Suffix","char"
"dbo","cmc_matx_accum_txn","matx_acc_type","Member Accumulator Transaction Table","Accumulator Type","char"
"dbo","cmc_matx_accum_txn","acac_acc_no","Member Accumulator Transaction Table","Accumulator Number","smallint"
"dbo","cmc_matx_accum_txn","matx_ben_beg_dt","Member Accumulator Transaction Table","Benefit Period Begins Date","datetime"
"dbo","cmc_matx_accum_txn","matx_seq_no","Member Accumulator Transaction Table","Transaction Sequence Number","int"
"dbo","cmc_matx_accum_txn","grgr_ck","Member Accumulator Transaction Table","Group Contrived Key","int"
"dbo","cmc_matx_accum_txn","matx_txn_amt1","Member Accumulator Transaction Table","Member Accumulator Transaction Amount 1","money"
"dbo","cmc_matx_accum_txn","matx_txn_amt2","Member Accumulator Transaction Table","Member Accumulator Transaction Amount 2","money"
"dbo","cmc_matx_accum_txn","matx_txn_amt3","Member Accumulator Transaction Table","Member Accumulator Transaction Amount 3","money"
"dbo","cmc_matx_accum_txn","matx_txn_ctr1","Member Accumulator Transaction Table","Member Accumulator Transaction Counter 1","numeric"
"dbo","cmc_matx_accum_txn","matx_txn_ctr2","Member Accumulator Transaction Table","Member Accumulator Transaction Counter 2","numeric"
"dbo","cmc_matx_accum_txn","matx_amt1","Member Accumulator Transaction Table","Member Accumulator Cumulative Amount 1","money"
"dbo","cmc_matx_accum_txn","matx_amt2","Member Accumulator Transaction Table","Member Accumulator Cumulative Amount 2","money"
"dbo","cmc_matx_accum_txn","matx_amt3","Member Accumulator Transaction Table","Member Accumulator Cumulative Amount 3","money"
"dbo","cmc_matx_accum_txn","matx_ctr1","Member Accumulator Transaction Table","Member Accumulator Cumulative Counter 1","numeric"
"dbo","cmc_matx_accum_txn","matx_ctr2","Member Accumulator Transaction Table","Member Accumulator Cumulative Counter 2","numeric"
"dbo","cmc_matx_accum_txn","matx_create_dtm","Member Accumulator Transaction Table","Member Accumulator Transaction Create Datetime","datetime"
"dbo","cmc_matx_accum_txn","matx_sts_ind","Member Accumulator Transaction Table","Member Accumulator Transaction Status Indicator","char"
"dbo","cmc_matx_accum_txn","clcl_id","Member Accumulator Transaction Table","Member Accumulator Transaction Claim ID","char"
"dbo","cmc_matx_accum_txn","matx_mctr_rsn","Member Accumulator Transaction Table","Member Accumulator Transaction Update Reason","char"
"dbo","cmc_matx_accum_txn","matx_external_id","Member Accumulator Transaction Table","Member Accumulator Transaction External ID","varchar"
"dbo","cmc_matx_accum_txn","usus_id","Member Accumulator Transaction Table","User Identifier","varchar"
"dbo","cmc_matx_accum_txn","matx_period_type","Member Accumulator Transaction Table","Member Accumulator Transaction Period Type","char"
"dbo","cmc_matx_accum_txn","matx_person_ind","Member Accumulator Transaction Table","Member Accumulator Transaction Person Indicator","char"
"dbo","cmc_matx_accum_txn","matx_person_ind_co","Member Accumulator Transaction Table","Member Accumulator Transaction Person Carryover Indicator","char"
"dbo","cmc_matx_accum_txn","matx_person_amt","Member Accumulator Transaction Table","Member Accumulator Transaction Person Amount","money"
"dbo","cmc_matx_accum_txn","matx_max_co_amt","Member Accumulator Transaction Table","Member Accumulator Transaction Maximum Carryover Amount","money"
"dbo","cmc_matx_accum_txn","matx_prior_co_amt","Member Accumulator Transaction Table","Member Accumulator Transaction Prior Year Carryover Amount","money"
"dbo","cmc_matx_accum_txn","matx_renst_ind","Member Accumulator Transaction Table","Member Accumulator Transaction Reinstatement Indicator","char"
"dbo","cmc_matx_accum_txn","matx_next_renst_dt","Member Accumulator Transaction Table","Member Accumulator Transaction Next Reinstatement Date","datetime"
"dbo","cmc_matx_accum_txn","syin_inst","Member Accumulator Transaction Table","Member Accumulator Transaction Instance ID","bigint"
"dbo","cmc_matx_accum_txn","matx_lock_token","Member Accumulator Transaction Table","Lock Token","smallint"
"dbo","cmc_matx_accum_txn","atxr_source_id","Member Accumulator Transaction Table","Attachment Source Id","datetime"
"dbo","cmc_matx_accum_txn","sys_last_upd_dtm","Member Accumulator Transaction Table","Last Update Datetime","datetime"
"dbo","cmc_matx_accum_txn","sys_usus_id","Member Accumulator Transaction Table","Last Update User ID","varchar"
"dbo","cmc_matx_accum_txn","sys_dbuser_id","Member Accumulator Transaction Table","Last Update DBMS User ID","varchar"
