"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_mcbr_bank_rel","mcbr_ck","Bank Relationship table","Bank relationship contrived key","int"
"dbo","cmc_mcbr_bank_rel","mcbr_rel_type","Bank Relationship table","Bank relationship type","char"
"dbo","cmc_mcbr_bank_rel","mcbr_rel_ck","Bank Relationship table","Related tables contrived key","int"
"dbo","cmc_mcbr_bank_rel","mcbr_rel_id","Bank Relationship table","Related  ID","char"
"dbo","cmc_mcbr_bank_rel","mcbd_id","Bank Relationship table","Bank ID","char"
"dbo","cmc_mcbr_bank_rel","mcbr_acct_no","Bank Relationship table","Account Number","char"
"dbo","cmc_mcbr_bank_rel","mcbr_acct_name","Bank Relationship table","Account Name","char"
"dbo","cmc_mcbr_bank_rel","mcbr_mctr_atyp","Bank Relationship table","Account Type","char"
"dbo","cmc_mcbr_bank_rel","mcbr_acct_no_qual","Bank Relationship table","Type","char"
"dbo","cmc_mcbr_bank_rel","mcbr_lock_token","Bank Relationship table","Lock Token","smallint"
"dbo","cmc_mcbr_bank_rel","atxr_source_id","Bank Relationship table","Attachment Source Id","datetime"
