"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_mcpv_parm_u","mcpf_source","Parameter Selections","Source of data","char"
"dbo","cmc_mcpv_parm_u","mcpv_submitter","Parameter Selections","Submitter/FHG Trading Partner","varchar"
"dbo","cmc_mcpv_parm_u","mcpf_trans_type","Parameter Selections","Transaction Type","char"
"dbo","cmc_mcpv_parm_u","mcpf_direction","Parameter Selections","Inbound or Outbound","char"
"dbo","cmc_mcpv_parm_u","mcpf_name","Parameter Selections","Parameter Name","varchar"
"dbo","cmc_mcpv_parm_u","mcva_seq_no","Parameter Selections","Sequence Number","smallint"
"dbo","cmc_mcpv_parm_u","mcpl_id","Parameter Selections","Parameter list ID","varchar"
"dbo","cmc_mcpv_parm_u","mcpv_lock_token","Parameter Selections","Lock Token","smallint"
"dbo","cmc_mcpv_parm_u","mcpv_last_upd_usid","Parameter Selections","Last update user","varchar"
"dbo","cmc_mcpv_parm_u","mcpv_last_upd_dtm","Parameter Selections","Last Update Datetime","datetime"
