"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_mcsa_auto_acts","mcsa_ck","Auto Action Results","Automatic Actions Contrived Key","int"
"dbo","cmc_mcsa_auto_acts","grgr_ck","Auto Action Results","Automatic Actions Group Contrived Key","int"
"dbo","cmc_mcsa_auto_acts","sbsb_ck","Auto Action Results","Automatic Actions Subscriber Contrived Key","int"
"dbo","cmc_mcsa_auto_acts","meme_ck","Auto Action Results","Member Contrived Key","int"
"dbo","cmc_mcsa_auto_acts","mcrd_bat_id","Auto Action Results","Auto Actions Batch ID","char"
"dbo","cmc_mcsa_auto_acts","sgsg_ck","Auto Action Results","Automatic Actions Subgroup Contrived Key","int"
"dbo","cmc_mcsa_auto_acts","pagr_ck","Auto Action Results","Automatic Actions Parent Group Contrived Key","int"
"dbo","cmc_mcsa_auto_acts","mcrd_context","Auto Action Results","Automatic Actions Context","char"
"dbo","cmc_mcsa_auto_acts","mcrd_cat","Auto Action Results","Automatic Actions Category","char"
"dbo","cmc_mcsa_auto_acts","mcrd_result","Auto Action Results","Automatic Actions Business Event (Result)","char"
"dbo","cmc_mcsa_auto_acts","mcrd_cause","Auto Action Results","Automatic Action Method (Cause)","char"
"dbo","cmc_mcsa_auto_acts","mcsa_rslt_eff_dt","Auto Action Results","Automatic Action Criteria Business Event (Results) Effective Date","datetime"
"dbo","cmc_mcsa_auto_acts","pdbc_pfx","Auto Action Results","Automatic Actions Prefix ID","char"
"dbo","cmc_mcsa_auto_acts","pdpd_id","Auto Action Results","Automatic Action Product ID","char"
"dbo","cmc_mcsa_auto_acts","cspd_cat","Auto Action Results","Automatic Action Product Category","char"
"dbo","cmc_mcsa_auto_acts","cspi_id","Auto Action Results","Automatic Action Plan ID","char"
"dbo","cmc_mcsa_auto_acts","mcsa_from_app_id","Auto Action Results","Automatic Action Last Plan ID for a Change Event","char"
"dbo","cmc_mcsa_auto_acts","mcsa_from_app_type","Auto Action Results","Automatic Action Last Family Coverage Code","char"
"dbo","cmc_mcsa_auto_acts","mcsa_to_app_id","Auto Action Results","Automatic Action New Plan ID from the Change Event","char"
"dbo","cmc_mcsa_auto_acts","mcsa_to_app_type","Auto Action Results","Automatic Action New Family Coverage Code from the Change Event","char"
"dbo","cmc_mcsa_auto_acts","mcsa_rule1","Auto Action Results","N/A","char"
"dbo","cmc_mcsa_auto_acts","mcsa_rule2","Auto Action Results","N/A","char"
"dbo","cmc_mcsa_auto_acts","mcsa_rule3","Auto Action Results","N/A","char"
"dbo","cmc_mcsa_auto_acts","mcsa_rule4","Auto Action Results","N/A","char"
"dbo","cmc_mcsa_auto_acts","mctr_entity","Auto Action Results","Automatic Action Reason Entity","char"
"dbo","cmc_mcsa_auto_acts","mctr_type","Auto Action Results","Automatic Actions Reason Type","char"
"dbo","cmc_mcsa_auto_acts","mctr_value","Auto Action Results","Automatic Action Reason","char"
"dbo","cmc_mcsa_auto_acts","excd_id","Auto Action Results","Automatic Action Explanation ID","char"
"dbo","cmc_mcsa_auto_acts","mepe_sys_inel_cd","Auto Action Results","Automatic Action Ineligibility Code","char"
"dbo","cmc_mcsa_auto_acts","atsy_id","Auto Action Results","Automatic Action Letter Style ID","char"
"dbo","cmc_mcsa_auto_acts","atld_id","Auto Action Results","Automatic Action Document ID","varchar"
"dbo","cmc_mcsa_auto_acts","mcrd_msg_excd_id","Auto Action Results","Automatic Action Message ID","char"
"dbo","cmc_mcsa_auto_acts","mcrd_act_sts","Auto Action Results","Automatic Action Output Status","char"
"dbo","cmc_mcsa_auto_acts","mcsa_act_dt","Auto Action Results","Automatic Action Batch Schedule Date","datetime"
"dbo","cmc_mcsa_auto_acts","mcrd_mctr_uscd","Auto Action Results","Automatic Action Output Code","char"
"dbo","cmc_mcsa_auto_acts","mcsa_sub_sts","Auto Action Results","N/A","char"
"dbo","cmc_mcsa_auto_acts","mcsa_mem_sts","Auto Action Results","N/A","char"
"dbo","cmc_mcsa_auto_acts","mcsa_state","Auto Action Results","Automatic Action Addressee State of Residence","char"
"dbo","cmc_mcsa_auto_acts","mcsa_create_dtm","Auto Action Results","Automatic Action Create Date/Time","datetime"
"dbo","cmc_mcsa_auto_acts","usus_id","Auto Action Results","User Identifier","char"
"dbo","cmc_mcsa_auto_acts","mcsa_prcs_sts","Auto Action Results","Automatic Action Processing Status","char"
"dbo","cmc_mcsa_auto_acts","mcsa_prcs_dtm","Auto Action Results","Automatic Action Scheduled for & Processed On Batch Date","datetime"
"dbo","cmc_mcsa_auto_acts","syin_inst","Auto Action Results","Automatic Action Instance ID","bigint"
"dbo","cmc_mcsa_auto_acts","mcrd_lock_token","Auto Action Results","Lock Token","smallint"
"dbo","cmc_mcsa_auto_acts","atxr_source_id","Auto Action Results","Attachment Source Id","datetime"
