"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_mdsp_med_supp","pdbc_pfx","Medicare Supplemental Rules Table","Medicare Supplemental Rules Prefix","char"
"dbo","cmc_mdsp_med_supp","mdsp_parta_clm_ind","Medicare Supplemental Rules Table","Medicare Supplemental Rules Part A Calculation Method","char"
"dbo","cmc_mdsp_med_supp","mdsp_partb_clm_ind","Medicare Supplemental Rules Table","Medicare Supplemental Rules Part B Calculation Method","char"
"dbo","cmc_mdsp_med_supp","mdsp_coins_med_ind","Medicare Supplemental Rules Table","Medicare Supplemental Rules Medicare Coinsurance Indicator","char"
"dbo","cmc_mdsp_med_supp","mdsp_med_supp_exc","Medicare Supplemental Rules Table","Medicare Supplemental Rules Condition Code 90 Bypass Indicator","char"
"dbo","cmc_mdsp_med_supp","mdsp_med_supp_lpct","Medicare Supplemental Rules Table","Medicare Supplemental Rules Medicare Limiting Charge Percent","money"
"dbo","cmc_mdsp_med_supp","mdsp_dis_excd","Medicare Supplemental Rules Table","","char"
"dbo","cmc_mdsp_med_supp","mdsp_lock_token","Medicare Supplemental Rules Table","Lock Token","smallint"
"dbo","cmc_mdsp_med_supp","atxr_source_id","Medicare Supplemental Rules Table","Attachment Source Id","datetime"
"dbo","cmc_mdsp_med_supp","mdsp_parta_dis_excd","Medicare Supplemental Rules Table","Medicare Supplemental Rules Part A Disallow Explanation","char"
"dbo","cmc_mdsp_med_supp","mdsp_partb_dis_excd","Medicare Supplemental Rules Table","Medicare Supplemental Rules Part B Disallow Explanation","char"
"dbo","cmc_mdsp_med_supp","mdsp_a_coins_pct","Medicare Supplemental Rules Table","Medicare Supplemental Rules Part A Reimbursable Coinsurance Percentage","money"
"dbo","cmc_mdsp_med_supp","mdsp_a_dede_pct","Medicare Supplemental Rules Table","Medicare Supplemental Rules Part A Reimbursable Deductible Percentage","money"
"dbo","cmc_mdsp_med_supp","mdsp_b_coins_pct","Medicare Supplemental Rules Table","Medicare Supplemental Rules Part B Reimbursable Coinsurance Percentage","money"
"dbo","cmc_mdsp_med_supp","mdsp_b_dede_pct","Medicare Supplemental Rules Table","Medicare Supplemental Rules Part B Reimbursable Deductible Percentage","money"
"dbo","cmc_mdsp_med_supp","mdsp_b_excess_pct","Medicare Supplemental Rules Table","Medicare Supplemental Rules Part B Excess Percentage","money"
"dbo","cmc_mdsp_med_supp","mdsp_mlc_ind","Medicare Supplemental Rules Table","Medicare Supplemental Rules Medicare Limiting Charge Indicator","char"
"dbo","cmc_mdsp_med_supp","mdsp_sub_sqest_ind","Medicare Supplemental Rules Table","Medicare Supplemental Rules Sequestration Subtraction Indicator","char"
