"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_meac_accum_old","meme_ck","Former Accumulator Data at Member Level","Member Contrived Key","int"
"dbo","cmc_meac_accum_old","pdpd_acc_sfx","Former Accumulator Data at Member Level","Product Accumulator Suffix","char"
"dbo","cmc_meac_accum_old","meac_acc_type","Former Accumulator Data at Member Level","","char"
"dbo","cmc_meac_accum_old","acac_acc_no","Former Accumulator Data at Member Level","EOB Amount Accumulator Number","smallint"
"dbo","cmc_meac_accum_old","grgr_ck","Former Accumulator Data at Member Level","Group Address Line 1","int"
"dbo","cmc_meac_accum_old","meac_cur_year","Former Accumulator Data at Member Level","","datetime"
"dbo","cmc_meac_accum_old","meac_yr1_amt1","Former Accumulator Data at Member Level","","money"
"dbo","cmc_meac_accum_old","meac_yr1_amt2","Former Accumulator Data at Member Level","","money"
"dbo","cmc_meac_accum_old","meac_yr1_amt3","Former Accumulator Data at Member Level","","money"
"dbo","cmc_meac_accum_old","meac_yr2_amt1","Former Accumulator Data at Member Level","","money"
"dbo","cmc_meac_accum_old","meac_yr2_amt2","Former Accumulator Data at Member Level","","money"
"dbo","cmc_meac_accum_old","meac_yr2_amt3","Former Accumulator Data at Member Level","","money"
"dbo","cmc_meac_accum_old","meac_yr3_amt1","Former Accumulator Data at Member Level","","money"
"dbo","cmc_meac_accum_old","meac_yr3_amt2","Former Accumulator Data at Member Level","","money"
"dbo","cmc_meac_accum_old","meac_yr3_amt3","Former Accumulator Data at Member Level","","money"
"dbo","cmc_meac_accum_old","meac_lock_token","Former Accumulator Data at Member Level","Lock Token","smallint"
"dbo","cmc_meac_accum_old","meac_lst_clcl_id_nvl","Former Accumulator Data at Member Level","","char"
"dbo","cmc_meac_accum_old","meac_mctr_rsn_nvl","Former Accumulator Data at Member Level","","char"
"dbo","cmc_meac_accum_old","syin_inst","Former Accumulator Data at Member Level","System Instance","int"
