"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_mecm_comm","meme_ck","Member Communication Preference","Member Contrived Key","int"
"dbo","cmc_mecm_comm","mecm_eff_dt","Member Communication Preference","Effective Date","datetime"
"dbo","cmc_mecm_comm","mecm_mctr_ctyp","Member Communication Preference","Communication Type","char"
"dbo","cmc_mecm_comm","mecm_mctr_cmth","Member Communication Preference","Member Communication Preference","char"
"dbo","cmc_mecm_comm","mecm_term_dt","Member Communication Preference","Termination Date","datetime"
"dbo","cmc_mecm_comm","mecm_mctr_trsn","Member Communication Preference","Termination Reason","char"
"dbo","cmc_mecm_comm","grgr_ck","Member Communication Preference","Group Contrived Key","int"
"dbo","cmc_mecm_comm","mecm_opt_out","Member Communication Preference","Opt Out Indicator","char"
"dbo","cmc_mecm_comm","mecm_mctr_lang","Member Communication Preference","Member Language Preference","char"
"dbo","cmc_mecm_comm","mecm_email","Member Communication Preference","Member Email","varchar"
"dbo","cmc_mecm_comm","mecm_sms_text","Member Communication Preference","Member Text Message Number","varchar"
"dbo","cmc_mecm_comm","mecm_sbad_type","Member Communication Preference","Member Address Type","char"
"dbo","cmc_mecm_comm","mecm_rcvd_dt","Member Communication Preference","Received Date","datetime"
"dbo","cmc_mecm_comm","mecm_lock_token","Member Communication Preference","Lock Token","smallint"
"dbo","cmc_mecm_comm","atxr_source_id","Member Communication Preference","Attachment Source Id","datetime"
"dbo","cmc_mecm_comm","sys_last_upd_dtm","Member Communication Preference","Last Update Datetime","datetime"
"dbo","cmc_mecm_comm","sys_usus_id","Member Communication Preference","Last Update User ID","varchar"
"dbo","cmc_mecm_comm","sys_dbuser_id","Member Communication Preference","Last Update DBMS User ID","varchar"
