"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_medc_debt_card","meme_ck","Member Debit Card","Member Contrived Key","int"
"dbo","cmc_medc_debt_card","medc_acct_type","Member Debit Card","Type","char"
"dbo","cmc_medc_debt_card","medc_eff_dt","Member Debit Card","Effective","datetime"
"dbo","cmc_medc_debt_card","medc_term_dt","Member Debit Card","Termination","datetime"
"dbo","cmc_medc_debt_card","medc_mctr_trsn","Member Debit Card","Termination Reason","char"
"dbo","cmc_medc_debt_card","grgr_ck","Member Debit Card","Group Contrived Key","int"
"dbo","cmc_medc_debt_card","medc_sts","Member Debit Card","Status","char"
"dbo","cmc_medc_debt_card","cspi_id","Member Debit Card","Plan ID","char"
"dbo","cmc_medc_debt_card","grdc_pfx","Member Debit Card","Debit Card/Bank Prefix","char"
"dbo","cmc_medc_debt_card","medc_card_no","Member Debit Card","Card Number","varchar"
"dbo","cmc_medc_debt_card","medc_card_alt_no","Member Debit Card","Alternate Debit Card Number","varchar"
"dbo","cmc_medc_debt_card","medc_mctr_ersn","Member Debit Card","Exception Code","char"
"dbo","cmc_medc_debt_card","medc_addl_data","Member Debit Card","Additional Data","varchar"
"dbo","cmc_medc_debt_card","medc_last_upd_dtm","Member Debit Card","Last Update Date and Time","datetime"
"dbo","cmc_medc_debt_card","medc_lst_usus_id","Member Debit Card","Last Update User ID","char"
"dbo","cmc_medc_debt_card","medc_cdh_elig_dtm","Member Debit Card","CDH Eligibility Date","datetime"
"dbo","cmc_medc_debt_card","medc_term_srce_cd","Member Debit Card","Debit Card Termination Source","char"
"dbo","cmc_medc_debt_card","medc_lock_token","Member Debit Card","Lock Token","smallint"
"dbo","cmc_medc_debt_card","atxr_source_id","Member Debit Card","Attachment Source Id","datetime"
