"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_meea_elig_act","meea_row_id","Eligibility Action Table","System Generated Row ID","numeric"
"dbo","cmc_meea_elig_act","grgr_ck","Eligibility Action Table","Group Contrived Key","int"
"dbo","cmc_meea_elig_act","sgsg_ck","Eligibility Action Table","Subgroup Contrived Key","int"
"dbo","cmc_meea_elig_act","sbsb_ck","Eligibility Action Table","Subscriber Contrived Key","int"
"dbo","cmc_meea_elig_act","cscs_id","Eligibility Action Table","Class Identifier","char"
"dbo","cmc_meea_elig_act","meea_type","Eligibility Action Table","Eligibility Action Type","char"
"dbo","cmc_meea_elig_act","meea_sts","Eligibility Action Table","Eligibility Action Row Status","char"
"dbo","cmc_meea_elig_act","meea_req_dt","Eligibility Action Table","Eligibility Action Request Date","datetime"
"dbo","cmc_meea_elig_act","meea_lock_token","Eligibility Action Table","Lock Token","smallint"
"dbo","cmc_meea_elig_act","atxr_source_id","Eligibility Action Table","Attachment Source Id","datetime"
