"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_mehs_hsa_accum","meme_ck","Member HSA Accumulation","Member Contrived Key","int"
"dbo","cmc_mehs_hsa_accum","hsai_acc_sfx","Member HSA Accumulation","HRA Administrative Information Accumulator Suffix","char"
"dbo","cmc_mehs_hsa_accum","sbhs_plan_yr_dt","Member HSA Accumulation","HRA Plan Year Date","datetime"
"dbo","cmc_mehs_hsa_accum","grgr_ck","Member HSA Accumulation","Group Contrived Key","int"
"dbo","cmc_mehs_hsa_accum","sbsb_ck","Member HSA Accumulation","Subscriber Contrived Key","int"
"dbo","cmc_mehs_hsa_accum","mehs_ded_accum_amt","Member HSA Accumulation","HRA Member Deductible Accumulator","money"
"dbo","cmc_mehs_hsa_accum","mehs_co_amt","Member HSA Accumulation","HRA Member Carryover Amount","money"
"dbo","cmc_mehs_hsa_accum","mehs_paid_amt","Member HSA Accumulation","HRA Member Plan Year Credits","money"
"dbo","cmc_mehs_hsa_accum","mehs_balance_amt","Member HSA Accumulation","HRA Member Plan Year Balance Available","money"
"dbo","cmc_mehs_hsa_accum","mehs_hra_card_amt","Member HSA Accumulation","HRA Card Amount","money"
"dbo","cmc_mehs_hsa_accum","mehs_ded2_accm_amt","Member HSA Accumulation","Deductible two accum Amount","money"
"dbo","cmc_mehs_hsa_accum","mehs_vbb_credit","Member HSA Accumulation","Value Based Benefit HRA Credit","money"
"dbo","cmc_mehs_hsa_accum","mehs_lock_token","Member HSA Accumulation","Lock Token","smallint"
"dbo","cmc_mehs_hsa_accum","atxr_source_id","Member HSA Accumulation","Attachment Source Id","datetime"
