"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_merd_rate_data","meme_ck","Member Rate Data","Member Contrived Key","int"
"dbo","cmc_merd_rate_data","merd_eff_dt","Member Rate Data","Effective Date","datetime"
"dbo","cmc_merd_rate_data","merd_insq_dt","Member Rate Data","Insequence Date","datetime"
"dbo","cmc_merd_rate_data","grgr_ck","Member Rate Data","Group Contrived Key","int"
"dbo","cmc_merd_rate_data","merd_type","Member Rate Data","Rate Data Type","char"
"dbo","cmc_merd_rate_data","cspi_id","Member Rate Data","Class Plan Identifier","char"
"dbo","cmc_merd_rate_data","merd_units","Member Rate Data","Elected Units","int"
"dbo","cmc_merd_rate_data","merd_mod_fctr","Member Rate Data","Factor","int"
"dbo","cmc_merd_rate_data","merd_mod_amt","Member Rate Data","Amount","money"
"dbo","cmc_merd_rate_data","merd_lock_token","Member Rate Data","Lock Token","smallint"
"dbo","cmc_merd_rate_data","atxr_source_id","Member Rate Data","Attachment Source Id","datetime"
