"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_mesa_susp_act","meme_ck","Member Suspend Capitation Action","Member Contrived Key","int"
"dbo","cmc_mesa_susp_act","meet_excp_type","Member Suspend Capitation Action","Exception Type","char"
"dbo","cmc_mesa_susp_act","cspd_cat","Member Suspend Capitation Action","Category","char"
"dbo","cmc_mesa_susp_act","meet_eff_dt","Member Suspend Capitation Action","Effective Date","datetime"
"dbo","cmc_mesa_susp_act","mesa_row_id","Member Suspend Capitation Action","Row ID","numeric"
"dbo","cmc_mesa_susp_act","mesa_sts","Member Suspend Capitation Action","Status","smallint"
"dbo","cmc_mesa_susp_act","mesa_pay_dt","Member Suspend Capitation Action","Capitation Pay Date","datetime"
"dbo","cmc_mesa_susp_act","mesa_create_dtm","Member Suspend Capitation Action","Create Date","datetime"
"dbo","cmc_mesa_susp_act","mesa_lock_token","Member Suspend Capitation Action","Lock Token","smallint"
"dbo","cmc_mesa_susp_act","atxr_source_id","Member Suspend Capitation Action","Attachment Source Id","datetime"
