"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_mlal_accums","meme_ck","Member Service Category Amount Accumulator","Member Contrived Key","int"
"dbo","cmc_mlal_accums","pdpd_acc_sfx","Member Service Category Amount Accumulator","Product Suffix","char"
"dbo","cmc_mlal_accums","lalt_id","Member Service Category Amount Accumulator","Service Category Amount Limit ID","char"
"dbo","cmc_mlal_accums","mlal_eff_dt","Member Service Category Amount Accumulator","Effective Date","datetime"
"dbo","cmc_mlal_accums","mlal_term_dt","Member Service Category Amount Accumulator","Termination Date","datetime"
"dbo","cmc_mlal_accums","mlal_amount","Member Service Category Amount Accumulator","Amount","money"
"dbo","cmc_mlal_accums","mlal_amount_used","Member Service Category Amount Accumulator","Amount Used","money"
"dbo","cmc_mlal_accums","mlal_create_dtm","Member Service Category Amount Accumulator","Create Date","datetime"
"dbo","cmc_mlal_accums","mlal_last_usus_id","Member Service Category Amount Accumulator","Last Update User ID","varchar"
"dbo","cmc_mlal_accums","mlal_last_upd_dtm","Member Service Category Amount Accumulator","Last Update Date","datetime"
"dbo","cmc_mlal_accums","mlal_mctr_rsn","Member Service Category Amount Accumulator","Update Reason","char"
"dbo","cmc_mlal_accums","mlal_lock_token","Member Service Category Amount Accumulator","Lock Token","smallint"
"dbo","cmc_mlal_accums","atxr_source_id","Member Service Category Amount Accumulator","Attachment Source Id","datetime"
"dbo","cmc_mlal_accums","sys_last_upd_dtm","Member Service Category Amount Accumulator","Last Update Datetime","datetime"
"dbo","cmc_mlal_accums","sys_usus_id","Member Service Category Amount Accumulator","Last Update User ID","varchar"
"dbo","cmc_mlal_accums","sys_dbuser_id","Member Service Category Amount Accumulator","Last Update DBMS User ID","varchar"
