"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_mlcl_accums","meme_ck","Member Service Category Exclusion Accumulators","Member Contrived Key","int"
"dbo","cmc_mlcl_accums","pdpd_acc_sfx","Member Service Category Exclusion Accumulators","Product Accumulator Suffix","char"
"dbo","cmc_mlcl_accums","lcat_id_excluded","Member Service Category Exclusion Accumulators","Category Excluded","char"
"dbo","cmc_mlcl_accums","lcat_id_consumed","Member Service Category Exclusion Accumulators","Category Consumed","char"
"dbo","cmc_mlcl_accums","mlcl_eff_dt","Member Service Category Exclusion Accumulators","Effective Date","datetime"
"dbo","cmc_mlcl_accums","mlcl_term_dt","Member Service Category Exclusion Accumulators","Termination Date","datetime"
"dbo","cmc_mlcl_accums","mlcl_last_usus_id","Member Service Category Exclusion Accumulators","Last Update User ID","varchar"
"dbo","cmc_mlcl_accums","mlcl_last_upd_dtm","Member Service Category Exclusion Accumulators","Last Update Date","datetime"
"dbo","cmc_mlcl_accums","mlcl_mctr_rsn","Member Service Category Exclusion Accumulators","Update Reason","char"
"dbo","cmc_mlcl_accums","mlcl_create_dtm","Member Service Category Exclusion Accumulators","Create Date","datetime"
"dbo","cmc_mlcl_accums","mlcl_lock_token","Member Service Category Exclusion Accumulators","Lock Token","smallint"
"dbo","cmc_mlcl_accums","atxr_source_id","Member Service Category Exclusion Accumulators","Attachment Source Id","datetime"
"dbo","cmc_mlcl_accums","sys_last_upd_dtm","Member Service Category Exclusion Accumulators","Last Update Datetime","datetime"
"dbo","cmc_mlcl_accums","sys_usus_id","Member Service Category Exclusion Accumulators","Last Update User ID","varchar"
"dbo","cmc_mlcl_accums","sys_dbuser_id","Member Service Category Exclusion Accumulators","Last Update DBMS User ID","varchar"
