"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_mvaa_accum_act","meme_ck","Member Vision Service Group Accumulator Activity","Member Contrived Key","int"
"dbo","cmc_mvaa_accum_act","svgr_id","Member Vision Service Group Accumulator Activity","Service Grouping ID","char"
"dbo","cmc_mvaa_accum_act","mvsa_network_ind","Member Vision Service Group Accumulator Activity","Network Indicator","char"
"dbo","cmc_mvaa_accum_act","mvsa_eff_dt","Member Vision Service Group Accumulator Activity","Effective Date","datetime"
"dbo","cmc_mvaa_accum_act","mvsa_seq_no","Member Vision Service Group Accumulator Activity","Accumulator Sequence Number","smallint"
"dbo","cmc_mvaa_accum_act","mvaa_seq_no","Member Vision Service Group Accumulator Activity","Activity Sequence Number","smallint"
"dbo","cmc_mvaa_accum_act","grgr_ck","Member Vision Service Group Accumulator Activity","Group Contrived Key","int"
"dbo","cmc_mvaa_accum_act","mvaa_amount_used","Member Vision Service Group Accumulator Activity","Accumulator Used Amount","money"
"dbo","cmc_mvaa_accum_act","mvaa_count_used","Member Vision Service Group Accumulator Activity","Accumulator Count Used","smallint"
"dbo","cmc_mvaa_accum_act","mvaa_svc_dt","Member Vision Service Group Accumulator Activity","Claim Date of Service","datetime"
"dbo","cmc_mvaa_accum_act","mvaa_clcl_id","Member Vision Service Group Accumulator Activity","Claims ID","char"
"dbo","cmc_mvaa_accum_act","sese_id","Member Vision Service Group Accumulator Activity","Service ID","char"
"dbo","cmc_mvaa_accum_act","mvaa_man_updt_ind","Member Vision Service Group Accumulator Activity","Manual Accumulator Update Indicator","char"
"dbo","cmc_mvaa_accum_act","mvaa_mctr_rsn","Member Vision Service Group Accumulator Activity","Reason","char"
"dbo","cmc_mvaa_accum_act","mvaa_void_dt","Member Vision Service Group Accumulator Activity","Void Date","datetime"
"dbo","cmc_mvaa_accum_act","mvaa_mctr_vrsn","Member Vision Service Group Accumulator Activity","Void Reason","char"
"dbo","cmc_mvaa_accum_act","mvaa_updt_dtm","Member Vision Service Group Accumulator Activity","Update Date and Time","datetime"
"dbo","cmc_mvaa_accum_act","mvaa_usus_id","Member Vision Service Group Accumulator Activity","Last User ID","char"
"dbo","cmc_mvaa_accum_act","mvaa_lock_token","Member Vision Service Group Accumulator Activity","Lock Token","smallint"
"dbo","cmc_mvaa_accum_act","atxr_source_id","Member Vision Service Group Accumulator Activity","Attachment Source Id","datetime"
"dbo","cmc_mvaa_accum_act","sys_last_upd_dtm","Member Vision Service Group Accumulator Activity","Last Update Datetime","datetime"
"dbo","cmc_mvaa_accum_act","sys_usus_id","Member Vision Service Group Accumulator Activity","Last Update User ID","varchar"
"dbo","cmc_mvaa_accum_act","sys_dbuser_id","Member Vision Service Group Accumulator Activity","Last Update DBMS User ID","varchar"
