"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_mvla_accum","meme_ck","Member Vision Service Aggregate Accumulator","Member Contrived Key","int"
"dbo","cmc_mvla_accum","vsal_id","Member Vision Service Aggregate Accumulator","Service Grouping ID","char"
"dbo","cmc_mvla_accum","mvla_eff_dt","Member Vision Service Aggregate Accumulator","Effective Date","datetime"
"dbo","cmc_mvla_accum","mvla_seq_no","Member Vision Service Aggregate Accumulator","Accumulator Sequence Number","smallint"
"dbo","cmc_mvla_accum","mvla_void_ind","Member Vision Service Aggregate Accumulator","Void Indicator","char"
"dbo","cmc_mvla_accum","mvla_term_dt","Member Vision Service Aggregate Accumulator","Termination Date","datetime"
"dbo","cmc_mvla_accum","grgr_ck","Member Vision Service Aggregate Accumulator","Group Contrived Key","int"
"dbo","cmc_mvla_accum","mvla_amount_used","Member Vision Service Aggregate Accumulator","Accumulator Used Amount","money"
"dbo","cmc_mvla_accum","mvla_count_used","Member Vision Service Aggregate Accumulator","Accumulator Count Used","smallint"
"dbo","cmc_mvla_accum","mvla_occur_used","Member Vision Service Aggregate Accumulator","Limit Amount occurrences used","smallint"
"dbo","cmc_mvla_accum","mvla_lst_updt_dtm","Member Vision Service Aggregate Accumulator","Update Date and Time","datetime"
"dbo","cmc_mvla_accum","mvla_lst_usus_id","Member Vision Service Aggregate Accumulator","Last User ID","char"
"dbo","cmc_mvla_accum","mvla_lock_token","Member Vision Service Aggregate Accumulator","Lock Token","smallint"
"dbo","cmc_mvla_accum","atxr_source_id","Member Vision Service Aggregate Accumulator","Attachment Source Id","datetime"
"dbo","cmc_mvla_accum","sys_last_upd_dtm","Member Vision Service Aggregate Accumulator","Last Update Datetime","datetime"
"dbo","cmc_mvla_accum","sys_usus_id","Member Vision Service Aggregate Accumulator","Last Update User ID","varchar"
"dbo","cmc_mvla_accum","sys_dbuser_id","Member Vision Service Aggregate Accumulator","Last Update DBMS User ID","varchar"
