"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_mvsa_sg_accum","meme_ck","Member Vision Service Group Accumulator","Member Contrived Key","int"
"dbo","cmc_mvsa_sg_accum","svgr_id","Member Vision Service Group Accumulator","Service Grouping ID","char"
"dbo","cmc_mvsa_sg_accum","mvsa_network_ind","Member Vision Service Group Accumulator","Network Indicator","char"
"dbo","cmc_mvsa_sg_accum","mvsa_eff_dt","Member Vision Service Group Accumulator","Effective Date","datetime"
"dbo","cmc_mvsa_sg_accum","mvsa_seq_no","Member Vision Service Group Accumulator","Accumulator Sequence Number","smallint"
"dbo","cmc_mvsa_sg_accum","mvsa_void_ind","Member Vision Service Group Accumulator","Void Indicator","char"
"dbo","cmc_mvsa_sg_accum","mvsa_term_dt","Member Vision Service Group Accumulator","Termination Date","datetime"
"dbo","cmc_mvsa_sg_accum","grgr_ck","Member Vision Service Group Accumulator","Group Contrived Key","int"
"dbo","cmc_mvsa_sg_accum","mvsa_amount_used","Member Vision Service Group Accumulator","Accumulator Used Amount","money"
"dbo","cmc_mvsa_sg_accum","mvsa_count_used","Member Vision Service Group Accumulator","Accumulator Count Used","smallint"
"dbo","cmc_mvsa_sg_accum","mvsa_lst_updt_dtm","Member Vision Service Group Accumulator","Last Update Date and Time","datetime"
"dbo","cmc_mvsa_sg_accum","mvsa_lst_usus_id","Member Vision Service Group Accumulator","Last User ID","char"
"dbo","cmc_mvsa_sg_accum","pdbc_pfx_vcfl","Member Vision Service Group Accumulator","Frequency Limit Prefix","char"
"dbo","cmc_mvsa_sg_accum","vsal_id","Member Vision Service Group Accumulator","Aggregate Limit ID","char"
"dbo","cmc_mvsa_sg_accum","mvsa_lock_token","Member Vision Service Group Accumulator","Lock Token","smallint"
"dbo","cmc_mvsa_sg_accum","atxr_source_id","Member Vision Service Group Accumulator","Attachment Source Id","datetime"
"dbo","cmc_mvsa_sg_accum","sys_last_upd_dtm","Member Vision Service Group Accumulator","Last Update Datetime","datetime"
"dbo","cmc_mvsa_sg_accum","sys_usus_id","Member Vision Service Group Accumulator","Last Update User ID","varchar"
"dbo","cmc_mvsa_sg_accum","sys_dbuser_id","Member Vision Service Group Accumulator","Last Update DBMS User ID","varchar"
