"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_nwst_net_set","nwst_pfx","Network Set Table","Network Set Benefit Component Prefix","char"
"dbo","cmc_nwst_net_set","nwst_eff_dt","Network Set Table","Network Set Effective Date","datetime"
"dbo","cmc_nwst_net_set","nwst_seq_no","Network Set Table","Network Set Sequence Number","smallint"
"dbo","cmc_nwst_net_set","nwst_term_dt","Network Set Table","Network Set Termination Date","datetime"
"dbo","cmc_nwst_net_set","nwst_pr_nw_sts","Network Set Table","Network Status","char"
"dbo","cmc_nwst_net_set","nwnw_id","Network Set Table","Network ID","char"
"dbo","cmc_nwst_net_set","nwpr_pfx","Network Set Table","Network Provider Relationship Prefix","char"
"dbo","cmc_nwst_net_set","nwpe_pfx","Network Set Table","Network Provider Entity Relationship","char"
"dbo","cmc_nwst_net_set","nwcr_pfx","Network Set Table","Network Capitation Relationship Prefix","char"
"dbo","cmc_nwst_net_set","nwst_pcp_cat","Network Set Table","RESERVED FOR FUTURE USE","char"
"dbo","cmc_nwst_net_set","nwst_opts","Network Set Table","Network Set Options","char"
"dbo","cmc_nwst_net_set","nwst_nwcr_ind","Network Set Table","Network Capitation Indicator","char"
"dbo","cmc_nwst_net_set","pdvc_tier","Network Set Table","Network Tier","smallint"
"dbo","cmc_nwst_net_set","nwst_bypass_ind","Network Set Table","Network Set In Area Bypass Indicator","char"
"dbo","cmc_nwst_net_set","nwst_optout_ind","Network Set Table","Network Set Optout Bypass","char"
"dbo","cmc_nwst_net_set","nwst_lock_token","Network Set Table","Lock Token","smallint"
"dbo","cmc_nwst_net_set","atxr_source_id","Network Set Table","Attachment Source Id","datetime"
"dbo","cmc_nwst_net_set","sys_last_upd_dtm","Network Set Table","Last Update Datetime","datetime"
"dbo","cmc_nwst_net_set","sys_usus_id","Network Set Table","Last Update User ID","varchar"
"dbo","cmc_nwst_net_set","sys_dbuser_id","Network Set Table","Last Update DBMS User ID","varchar"
