"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_oasm_ooa_max","pdbc_pfx","Out of Area Service Grouping Maximum","Prefix","char"
"dbo","cmc_oasm_ooa_max","svgr_id","Out of Area Service Grouping Maximum","Service Grouping","char"
"dbo","cmc_oasm_ooa_max","oasm_eff_dt","Out of Area Service Grouping Maximum","Effective Date","datetime"
"dbo","cmc_oasm_ooa_max","oasm_term_dt","Out of Area Service Grouping Maximum","Termination Date","datetime"
"dbo","cmc_oasm_ooa_max","oasm_max_amt","Out of Area Service Grouping Maximum","Maximum Amount","money"
"dbo","cmc_oasm_ooa_max","oasm_lock_token","Out of Area Service Grouping Maximum","Lock Token","smallint"
"dbo","cmc_oasm_ooa_max","atxr_source_id","Out of Area Service Grouping Maximum","Attachment Source Id","datetime"
"dbo","cmc_oasm_ooa_max","sys_last_upd_dtm","Out of Area Service Grouping Maximum","Last Update Datetime","datetime"
"dbo","cmc_oasm_ooa_max","sys_usus_id","Out of Area Service Grouping Maximum","Last Update User ID","varchar"
"dbo","cmc_oasm_ooa_max","sys_dbuser_id","Out of Area Service Grouping Maximum","Last Update DBMS User ID","varchar"
