"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_pdaf_alt_fund","pdbc_pfx","Alternate Funding Table","Alternate Funding Rules Benefit Component Prefix","char"
"dbo","cmc_pdaf_alt_fund","pdaf_stop_loss_amt","Alternate Funding Table","Stoploss Amount for Alternate funding","money"
"dbo","cmc_pdaf_alt_fund","pdaf_stop_loss_ind","Alternate Funding Table","Benefit Year Stoploss Indicator for Alternate Funding","char"
"dbo","cmc_pdaf_alt_fund","pdaf_clm_ind","Alternate Funding Table","Claim Alternate Funding","char"
"dbo","cmc_pdaf_alt_fund","pdaf_cap_ind","Alternate Funding Table","Capitation Alternate Funding Indicator","char"
"dbo","cmc_pdaf_alt_fund","pdaf_mctr_sfee","Alternate Funding Table","Alternate Funding Standard Fee Type","char"
"dbo","cmc_pdaf_alt_fund","pdaf_sfee_val","Alternate Funding Table","Standard Fee Amount","money"
"dbo","cmc_pdaf_alt_fund","pdaf_mctr_rfee","Alternate Funding Table","Alternate Funding Run Out Fee Type","char"
"dbo","cmc_pdaf_alt_fund","pdaf_rfee_val","Alternate Funding Table","Run Out Fee Amount","money"
"dbo","cmc_pdaf_alt_fund","pdaf_fam_stop_loss","Alternate Funding Table","Family stop-loss amount","money"
"dbo","cmc_pdaf_alt_fund","pdaf_lock_token","Alternate Funding Table","Lock Token","smallint"
"dbo","cmc_pdaf_alt_fund","atxr_source_id","Alternate Funding Table","Attachment Source Id","datetime"
