"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_pdra_rate_ages","pdra_ref_dtm","Premium Rating Age Band Categories Table","Rate Ages Reference ID","datetime"
"dbo","cmc_pdra_rate_ages","pdra_age_from","Premium Rating Age Band Categories Table","Age From","smallint"
"dbo","cmc_pdra_rate_ages","pdra_age_thru","Premium Rating Age Band Categories Table","Age Through","smallint"
"dbo","cmc_pdra_rate_ages","pdra_rate_fctr_1","Premium Rating Age Band Categories Table","Rate Factor Column One","int"
"dbo","cmc_pdra_rate_ages","pdra_rate_fctr_2","Premium Rating Age Band Categories Table","Rate Factor Column Two","int"
"dbo","cmc_pdra_rate_ages","pdra_rate_fctr_3","Premium Rating Age Band Categories Table","Rate Factor Column Three","int"
"dbo","cmc_pdra_rate_ages","pdra_rate_fctr_4","Premium Rating Age Band Categories Table","Rate Factor Column Four","int"
"dbo","cmc_pdra_rate_ages","pdra_rate_fctr_5","Premium Rating Age Band Categories Table","Rate Factor Column Five","int"
"dbo","cmc_pdra_rate_ages","pdra_rate_fctr_6","Premium Rating Age Band Categories Table","Rate Factor Column Six","int"
"dbo","cmc_pdra_rate_ages","pdra_prem_1","Premium Rating Age Band Categories Table","Premium Column One","money"
"dbo","cmc_pdra_rate_ages","pdra_prem_2","Premium Rating Age Band Categories Table","Premium Column Two","money"
"dbo","cmc_pdra_rate_ages","pdra_prem_3","Premium Rating Age Band Categories Table","Premium Column Three","money"
"dbo","cmc_pdra_rate_ages","pdra_prem_4","Premium Rating Age Band Categories Table","Premium Column Four","money"
"dbo","cmc_pdra_rate_ages","pdra_prem_5","Premium Rating Age Band Categories Table","Premium Column Five","money"
"dbo","cmc_pdra_rate_ages","pdra_prem_6","Premium Rating Age Band Categories Table","Premium Column Six","money"
"dbo","cmc_pdra_rate_ages","pdra_lock_token","Premium Rating Age Band Categories Table","Lock Token","smallint"
