"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_pffs_pr_sched","pfpf_id","Medical Flat Fee Schedule","Fee Schedule Profile Identifier","char"
"dbo","cmc_pffs_pr_sched","sepc_mctr_pfpt","Medical Flat Fee Schedule","Fee Schedule Profile Service Pointer","char"
"dbo","cmc_pffs_pr_sched","ipcd_id","Medical Flat Fee Schedule","Fee Schedule Profile Procedure Code","char"
"dbo","cmc_pffs_pr_sched","pffs_eff_dt","Medical Flat Fee Schedule","Fee Schedule Profile Effective Date","datetime"
"dbo","cmc_pffs_pr_sched","pffs_term_dt","Medical Flat Fee Schedule","Fee Schedule Profile Termination Date","datetime"
"dbo","cmc_pffs_pr_sched","pffs_amt","Medical Flat Fee Schedule","Fee Schedule Profile Amount","money"
"dbo","cmc_pffs_pr_sched","pffs_disc_pct","Medical Flat Fee Schedule","Fee Schedule Profile Discount Percentage","money"
"dbo","cmc_pffs_pr_sched","pffs_lock_token","Medical Flat Fee Schedule","Lock Token","smallint"
"dbo","cmc_pffs_pr_sched","atxr_source_id","Medical Flat Fee Schedule","Attachment Source Id","datetime"
"dbo","cmc_pffs_pr_sched","sys_last_upd_dtm","Medical Flat Fee Schedule","Last Update Datetime","datetime"
"dbo","cmc_pffs_pr_sched","sys_usus_id","Medical Flat Fee Schedule","Last Update User ID","varchar"
"dbo","cmc_pffs_pr_sched","sys_dbuser_id","Medical Flat Fee Schedule","Last Update DBMS User ID","varchar"
