"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_pkbl_pack_bill","svbl_id","Package Billing Strategy","Service Group Billing Strategy ID","char"
"dbo","cmc_pkbl_pack_bill","spkg_id","Package Billing Strategy","Service Package ID","char"
"dbo","cmc_pkbl_pack_bill","pkbl_state","Package Billing Strategy","State","char"
"dbo","cmc_pkbl_pack_bill","pkbl_eff_dt","Package Billing Strategy","Effective Date","datetime"
"dbo","cmc_pkbl_pack_bill","pkbl_term_dt","Package Billing Strategy","Termination Date","datetime"
"dbo","cmc_pkbl_pack_bill","pkbl_strategy","Package Billing Strategy","Package Billing Strategy","char"
"dbo","cmc_pkbl_pack_bill","pkbl_amt","Package Billing Strategy","Package Billing Amount","money"
"dbo","cmc_pkbl_pack_bill","pkbl_pct","Package Billing Strategy","Package Billing Percentage","money"
"dbo","cmc_pkbl_pack_bill","pkbl_max","Package Billing Strategy","Package Billing Maximum","money"
"dbo","cmc_pkbl_pack_bill","pkbl_lock_token","Package Billing Strategy","Lock Token","smallint"
"dbo","cmc_pkbl_pack_bill","atxr_source_id","Package Billing Strategy","Attachment Source Id","datetime"
"dbo","cmc_pkbl_pack_bill","sys_last_upd_dtm","Package Billing Strategy","Last Update Datetime","datetime"
"dbo","cmc_pkbl_pack_bill","sys_usus_id","Package Billing Strategy","Last Update User ID","varchar"
"dbo","cmc_pkbl_pack_bill","sys_dbuser_id","Package Billing Strategy","Last Update DBMS User ID","varchar"
