"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_pmfe_fee_tbl","pmfe_pfx","User-Defined Fees Table","Fee Table Prefix ID","char"
"dbo","cmc_pmfe_fee_tbl","pmfa_id","User-Defined Fees Table","Fee Code","char"
"dbo","cmc_pmfe_fee_tbl","pmfe_eff_dt","User-Defined Fees Table","Effective Date","datetime"
"dbo","cmc_pmfe_fee_tbl","pmfe_term_dt","User-Defined Fees Table","Termination date","datetime"
"dbo","cmc_pmfe_fee_tbl","pmfe_desc","User-Defined Fees Table","Description","varchar"
"dbo","cmc_pmfe_fee_tbl","pmfe_timing_ind","User-Defined Fees Table","Timing Indicator","char"
"dbo","cmc_pmfe_fee_tbl","pmfe_calc_meth","User-Defined Fees Table","Calculation Method","char"
"dbo","cmc_pmfe_fee_tbl","pmfe_fee_amt","User-Defined Fees Table","Fee Amount","money"
"dbo","cmc_pmfe_fee_tbl","pmfe_fee_pct","User-Defined Fees Table","Fee Percent","int"
"dbo","cmc_pmfe_fee_tbl","pmfe_max_fee","User-Defined Fees Table","Maximum fee","money"
"dbo","cmc_pmfe_fee_tbl","pmfe_late_days","User-Defined Fees Table","Late Days","smallint"
"dbo","cmc_pmfe_fee_tbl","pmfe_state","User-Defined Fees Table","State Code","char"
"dbo","cmc_pmfe_fee_tbl","pmfe_lock_token","User-Defined Fees Table","Lock Token","smallint"
"dbo","cmc_pmfe_fee_tbl","atxr_source_id","User-Defined Fees Table","Attachment Source Id","datetime"
"dbo","cmc_pmfe_fee_tbl","sys_last_upd_dtm","User-Defined Fees Table","Last Update Datetime","datetime"
"dbo","cmc_pmfe_fee_tbl","sys_usus_id","User-Defined Fees Table","Last Update User ID","varchar"
"dbo","cmc_pmfe_fee_tbl","sys_dbuser_id","User-Defined Fees Table","Last Update DBMS User ID","varchar"
"dbo","cmc_pmfe_fee_tbl","pmfe_timely_days_nvl","User-Defined Fees Table","Timely Bill CreationDays","int"
