"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_pmft_factors","pmft_type","User-Defined Area and Industry Premium Factors Table","Factor Table Type","char"
"dbo","cmc_pmft_factors","pmft_pfx","User-Defined Area and Industry Premium Factors Table","Factor Table Prefix","char"
"dbo","cmc_pmft_factors","pmft_modifier","User-Defined Area and Industry Premium Factors Table","Factor Table Modifier","char"
"dbo","cmc_pmft_factors","pmft_key_from","User-Defined Area and Industry Premium Factors Table","Factor Key From","char"
"dbo","cmc_pmft_factors","pmft_eff_dt","User-Defined Area and Industry Premium Factors Table","Effective Date","datetime"
"dbo","cmc_pmft_factors","pmft_term_dt","User-Defined Area and Industry Premium Factors Table","Termination Date","datetime"
"dbo","cmc_pmft_factors","pmft_key_thru","User-Defined Area and Industry Premium Factors Table","Factor Key Through","char"
"dbo","cmc_pmft_factors","pmft_fctr","User-Defined Area and Industry Premium Factors Table","Factor","int"
"dbo","cmc_pmft_factors","pmft_lock_token","User-Defined Area and Industry Premium Factors Table","Lock Token","smallint"
"dbo","cmc_pmft_factors","atxr_source_id","User-Defined Area and Industry Premium Factors Table","Attachment Source Id","datetime"
