"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_prcv_cov_prac","prpr_id","Provider Covering Provider Relationship Information","Provider Identifier","char"
"dbo","cmc_prcv_cov_prac","prcv_prpr_id","Provider Covering Provider Relationship Information","Covering Provider Identifier","char"
"dbo","cmc_prcv_cov_prac","prcv_pfx","Provider Covering Provider Relationship Information","Covering Provider Relationship Prefix","char"
"dbo","cmc_prcv_cov_prac","prcv_eff_dt","Provider Covering Provider Relationship Information","Covering Provider Relationship Effective Date","datetime"
"dbo","cmc_prcv_cov_prac","prcv_term_dt","Provider Covering Provider Relationship Information","Covering Provider Relationship Termination Date","datetime"
"dbo","cmc_prcv_cov_prac","agag_id","Provider Covering Provider Relationship Information","Covering Provider Relationship Override Agreement ID","char"
"dbo","cmc_prcv_cov_prac","prcv_mctr_trsn","Provider Covering Provider Relationship Information","Covering Provider Relationship Termination Reason","char"
"dbo","cmc_prcv_cov_prac","prcv_include_ind","Provider Covering Provider Relationship Information","Covering Provider Relationship Status","char"
"dbo","cmc_prcv_cov_prac","prcv_lock_token","Provider Covering Provider Relationship Information","Lock Token","smallint"
"dbo","cmc_prcv_cov_prac","atxr_source_id","Provider Covering Provider Relationship Information","Attachment Source Id","datetime"
