"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_prsy_system","prpr_id","Provider Hospital System Relationship","Servicing Provider","char"
"dbo","cmc_prsy_system","prsy_eff_dt","Provider Hospital System Relationship","Hospital System Relationship Effective Date","datetime"
"dbo","cmc_prsy_system","mcre_syst_id","Provider Hospital System Relationship","Hospital System ID","varchar"
"dbo","cmc_prsy_system","prsy_term_dt","Provider Hospital System Relationship","Hospital System Relationship Termination Date","datetime"
"dbo","cmc_prsy_system","prsy_mctr_trsn","Provider Hospital System Relationship","Hospital System Relationship Termination Reason","char"
"dbo","cmc_prsy_system","prsy_lock_token","Provider Hospital System Relationship","Lock Token","smallint"
"dbo","cmc_prsy_system","atxr_source_id","Provider Hospital System Relationship","Attachment Source Id","datetime"
"dbo","cmc_prsy_system","sys_last_upd_dtm","Provider Hospital System Relationship","Last Update Datetime","datetime"
"dbo","cmc_prsy_system","sys_usus_id","Provider Hospital System Relationship","Last Update User ID","varchar"
"dbo","cmc_prsy_system","sys_dbuser_id","Provider Hospital System Relationship","Last Update DBMS User ID","varchar"
