"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_prza_zip_area","prpr_id","Provider Zip Code Area table","Provider ID","char"
"dbo","cmc_prza_zip_area","mccy_ctry_cd","Provider Zip Code Area table","Country Code","char"
"dbo","cmc_prza_zip_area","gzcd_zip","Provider Zip Code Area table","Zip Code","varchar"
"dbo","cmc_prza_zip_area","gzcd_zip_plus_low","Provider Zip Code Area table","Zip +4 Low","char"
"dbo","cmc_prza_zip_area","prza_eff_dt","Provider Zip Code Area table","Effective Date","datetime"
"dbo","cmc_prza_zip_area","prza_term_dt","Provider Zip Code Area table","Termination Date","datetime"
"dbo","cmc_prza_zip_area","gzcd_zip_plus_high","Provider Zip Code Area table","Zip +4 High","char"
"dbo","cmc_prza_zip_area","prza_lock_token","Provider Zip Code Area table","Lock Token","smallint"
"dbo","cmc_prza_zip_area","atxr_source_id","Provider Zip Code Area table","Attachment Source Id","datetime"
"dbo","cmc_prza_zip_area","sys_last_upd_dtm","Provider Zip Code Area table","Last Update Datetime","datetime"
"dbo","cmc_prza_zip_area","sys_usus_id","Provider Zip Code Area table","Last Update User ID","varchar"
"dbo","cmc_prza_zip_area","sys_dbuser_id","Provider Zip Code Area table","Last Update DBMS User ID","varchar"
