"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_pyba_bank_acct","pyba_id","Bank Information Indicative Table","Bank Account ID","char"
"dbo","cmc_pyba_bank_acct","pyba_bank_name","Bank Information Indicative Table","Bank Name","char"
"dbo","cmc_pyba_bank_acct","pyba_addr1","Bank Information Indicative Table","Address Line One","char"
"dbo","cmc_pyba_bank_acct","pyba_addr2","Bank Information Indicative Table","Address Line Two","char"
"dbo","cmc_pyba_bank_acct","pyba_addr3","Bank Information Indicative Table","Address Line Three","char"
"dbo","cmc_pyba_bank_acct","pyba_city","Bank Information Indicative Table","City","char"
"dbo","cmc_pyba_bank_acct","pyba_state","Bank Information Indicative Table","State Code","char"
"dbo","cmc_pyba_bank_acct","pyba_zip","Bank Information Indicative Table","Zip Code","char"
"dbo","cmc_pyba_bank_acct","pyba_county","Bank Information Indicative Table","County","char"
"dbo","cmc_pyba_bank_acct","pyba_ctry_cd","Bank Information Indicative Table","Country","char"
"dbo","cmc_pyba_bank_acct","pyba_phone","Bank Information Indicative Table","Phone Number","char"
"dbo","cmc_pyba_bank_acct","pyba_phone_ext","Bank Information Indicative Table","Phone Extension","char"
"dbo","cmc_pyba_bank_acct","pyba_fax","Bank Information Indicative Table","Fax Number","char"
"dbo","cmc_pyba_bank_acct","pyba_fax_ext","Bank Information Indicative Table","Fax Extension","char"
"dbo","cmc_pyba_bank_acct","pyba_email","Bank Information Indicative Table","Email","char"
"dbo","cmc_pyba_bank_acct","pyba_bank_control","Bank Information Indicative Table","Bank Control Information","char"
"dbo","cmc_pyba_bank_acct","pyba_bank_routing","Bank Information Indicative Table","Bank Routing Information","char"
"dbo","cmc_pyba_bank_acct","pyba_bank_transit","Bank Information Indicative Table","Bank Transit Information","char"
"dbo","cmc_pyba_bank_acct","pyba_checking_acct","Bank Information Indicative Table","Checking Account","char"
"dbo","cmc_pyba_bank_acct","pyba_last_ck_no","Bank Information Indicative Table","Last Check Number","int"
"dbo","cmc_pyba_bank_acct","pyba_lock_token","Bank Information Indicative Table","Lock Token","smallint"
"dbo","cmc_pyba_bank_acct","atxr_source_id","Bank Information Indicative Table","Attachment Source Id","datetime"
