"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_pypy_payor","pypy_id","Payor Indicative History Table","Payor ID","char"
"dbo","cmc_pypy_payor","pypy_eff_dt","Payor Indicative History Table","Effective Date","datetime"
"dbo","cmc_pypy_payor","pypy_term_dt","Payor Indicative History Table","Termination Date","datetime"
"dbo","cmc_pypy_payor","pyba_id","Payor Indicative History Table","Bank Account ID","char"
"dbo","cmc_pypy_payor","pypy_tax_id","Payor Indicative History Table","Payor Tax ID","char"
"dbo","cmc_pypy_payor","pypy_payor_name","Payor Indicative History Table","Payor Name","char"
"dbo","cmc_pypy_payor","pypy_addr1","Payor Indicative History Table","Address Line One","char"
"dbo","cmc_pypy_payor","pypy_addr2","Payor Indicative History Table","Address Line Two","char"
"dbo","cmc_pypy_payor","pypy_addr3","Payor Indicative History Table","Address Line Three","char"
"dbo","cmc_pypy_payor","pypy_city","Payor Indicative History Table","City","char"
"dbo","cmc_pypy_payor","pypy_state","Payor Indicative History Table","State Code","char"
"dbo","cmc_pypy_payor","pypy_zip","Payor Indicative History Table","Zip Code","char"
"dbo","cmc_pypy_payor","pypy_county","Payor Indicative History Table","County","char"
"dbo","cmc_pypy_payor","pypy_ctry_cd","Payor Indicative History Table","Country","char"
"dbo","cmc_pypy_payor","pypy_phone","Payor Indicative History Table","Phone Number","char"
"dbo","cmc_pypy_payor","pypy_phone_ext","Payor Indicative History Table","Phone Extension","char"
"dbo","cmc_pypy_payor","pypy_fax","Payor Indicative History Table","Fax Number","char"
"dbo","cmc_pypy_payor","pypy_fax_ext","Payor Indicative History Table","Fax Extension","char"
"dbo","cmc_pypy_payor","pypy_email","Payor Indicative History Table","Email","char"
"dbo","cmc_pypy_payor","pypy_ck_stock","Payor Indicative History Table","Check Stock ID","char"
"dbo","cmc_pypy_payor","pypy_laser_ck_ind","Payor Indicative History Table","Laser Check Indicator","char"
"dbo","cmc_pypy_payor","pypy_edi_835_ind","Payor Indicative History Table","EDI 835 Transaction Set Handling Code","char"
"dbo","cmc_pypy_payor","pypy_edi_dest_id","Payor Indicative History Table","Electronic Destination ID","char"
"dbo","cmc_pypy_payor","pypy_edi_dest_qual","Payor Indicative History Table","Electronic Destination Qualifier","char"
"dbo","cmc_pypy_payor","pypy_835_pay_meth","Payor Indicative History Table","835 Payment Method","char"
"dbo","cmc_pypy_payor","pypy_835_ach_fmt","Payor Indicative History Table","Payment Format","char"
"dbo","cmc_pypy_payor","pypy_dfi_id_qual","Payor Indicative History Table","DFI ID Qualifier","char"
"dbo","cmc_pypy_payor","pypy_natl_plan_id","Payor Indicative History Table","National Plan ID","varchar"
"dbo","cmc_pypy_payor","pypy_id_no","Payor Indicative History Table","Identification Number","varchar"
"dbo","cmc_pypy_payor","pypy_hlth_ind_no","Payor Indicative History Table","Health Industry Number","varchar"
"dbo","cmc_pypy_payor","pypy_naic_code","Payor Indicative History Table","National Association of Insurance Commissioners Code","varchar"
"dbo","cmc_pypy_payor","pypy_website","Payor Indicative History Table","Website URL Address","varchar"
"dbo","cmc_pypy_payor","pypy_bc_name","Payor Indicative History Table","Business Contact Name","varchar"
"dbo","cmc_pypy_payor","pypy_bc_phone","Payor Indicative History Table","Business Contact Phone Number","varchar"
"dbo","cmc_pypy_payor","pypy_bc_phone_ext","Payor Indicative History Table","Business Contact Phone Extension","char"
"dbo","cmc_pypy_payor","pypy_bc_fax","Payor Indicative History Table","Business Contact Fax Number","varchar"
"dbo","cmc_pypy_payor","pypy_bc_email","Payor Indicative History Table","Business Contact Email","varchar"
"dbo","cmc_pypy_payor","pypy_tc_name","Payor Indicative History Table","Technical Contact Name","varchar"
"dbo","cmc_pypy_payor","pypy_tc_phone","Payor Indicative History Table","Technical Contact Phone","varchar"
"dbo","cmc_pypy_payor","pypy_tc_phone_ext","Payor Indicative History Table","Technical Contact Phone Extension","char"
"dbo","cmc_pypy_payor","pypy_tc_fax","Payor Indicative History Table","Technical Contact Fax","varchar"
"dbo","cmc_pypy_payor","pypy_tc_email","Payor Indicative History Table","Technical Contact Email","varchar"
"dbo","cmc_pypy_payor","pypy_tc_website","Payor Indicative History Table","Technical Contact Website","varchar"
"dbo","cmc_pypy_payor","pypy_lock_token","Payor Indicative History Table","Lock Token","smallint"
"dbo","cmc_pypy_payor","atxr_source_id","Payor Indicative History Table","Attachment Source Id","datetime"
"dbo","cmc_pypy_payor","sys_last_upd_dtm","Payor Indicative History Table","Last Update Datetime","datetime"
"dbo","cmc_pypy_payor","sys_usus_id","Payor Indicative History Table","Last Update User ID","varchar"
"dbo","cmc_pypy_payor","sys_dbuser_id","Payor Indicative History Table","Last Update DBMS User ID","varchar"
