"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_sasx_sese_exc","pdbc_pfx","Service Area Exceptions by Service ID Table","Prefix","char"
"dbo","cmc_sasx_sese_exc","sese_id","Service Area Exceptions by Service ID Table","Service ID","char"
"dbo","cmc_sasx_sese_exc","sasx_eff_dt","Service Area Exceptions by Service ID Table","Effective Date","datetime"
"dbo","cmc_sasx_sese_exc","sasx_term_dt","Service Area Exceptions by Service ID Table","Termination Date","datetime"
"dbo","cmc_sasx_sese_exc","sasx_ind","Service Area Exceptions by Service ID Table","Service Area Exception Type","char"
"dbo","cmc_sasx_sese_exc","sasx_lock_token","Service Area Exceptions by Service ID Table","Lock Token","smallint"
"dbo","cmc_sasx_sese_exc","atxr_source_id","Service Area Exceptions by Service ID Table","Attachment Source Id","datetime"
"dbo","cmc_sasx_sese_exc","sys_last_upd_dtm","Service Area Exceptions by Service ID Table","Last Update Datetime","datetime"
"dbo","cmc_sasx_sese_exc","sys_usus_id","Service Area Exceptions by Service ID Table","Last Update User ID","varchar"
"dbo","cmc_sasx_sese_exc","sys_dbuser_id","Service Area Exceptions by Service ID Table","Last Update DBMS User ID","varchar"
