"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_sbal_hsa_alloc","sbsb_ck","Subscriber HRA Allocation","Subscriber Contrived Key","int"
"dbo","cmc_sbal_hsa_alloc","hsai_acc_sfx","Subscriber HRA Allocation","HRA Administrative Information Accumulator Suffix","char"
"dbo","cmc_sbal_hsa_alloc","sbhs_plan_yr_dt","Subscriber HRA Allocation","HRA Plan Year Date","datetime"
"dbo","cmc_sbal_hsa_alloc","sbal_eff_dt","Subscriber HRA Allocation","Effective Date","datetime"
"dbo","cmc_sbal_hsa_alloc","grgr_ck","Subscriber HRA Allocation","Group Contrived Key","int"
"dbo","cmc_sbal_hsa_alloc","sbal_process_dtm","Subscriber HRA Allocation","Process Date Time","datetime"
"dbo","cmc_sbal_hsa_alloc","sbal_ded_amt","Subscriber HRA Allocation","HRA Family Deductible Amount","money"
"dbo","cmc_sbal_hsa_alloc","sbal_alloc_amt","Subscriber HRA Allocation","HRA Family Allocation Amount","money"
"dbo","cmc_sbal_hsa_alloc","sbal_max_co_amt","Subscriber HRA Allocation","HRA Family Carryover Limit","money"
"dbo","cmc_sbal_hsa_alloc","sbal_me_ded_amt","Subscriber HRA Allocation","HRA Member Deductible Amount","money"
"dbo","cmc_sbal_hsa_alloc","sbal_me_alloc_amt","Subscriber HRA Allocation","HRA Member Allocation Amount","money"
"dbo","cmc_sbal_hsa_alloc","sbal_me_max_co_amt","Subscriber HRA Allocation","HRA Member Carryover Limit","money"
"dbo","cmc_sbal_hsa_alloc","sbal_mctr_crsn","Subscriber HRA Allocation","Manual Allocation Reason","char"
"dbo","cmc_sbal_hsa_alloc","sbal_input_source","Subscriber HRA Allocation","Input Source","char"
"dbo","cmc_sbal_hsa_alloc","sbal_ded_ind","Subscriber HRA Allocation","Deductible Indicator","char"
"dbo","cmc_sbal_hsa_alloc","sbal_ded2_ind","Subscriber HRA Allocation","Deductible Two Indicator","char"
"dbo","cmc_sbal_hsa_alloc","sbal_ded2_amt","Subscriber HRA Allocation","HRA Family Deductible Two Amount","money"
"dbo","cmc_sbal_hsa_alloc","sbal_me_ded2_amt","Subscriber HRA Allocation","HRA Member Deductible Two Amount","money"
"dbo","cmc_sbal_hsa_alloc","hsal_fam_stat_ind","Subscriber HRA Allocation","Family Status Indicator","char"
"dbo","cmc_sbal_hsa_alloc","sbal_prorate_mos","Subscriber HRA Allocation","Prorate Months","smallint"
"dbo","cmc_sbal_hsa_alloc","sbal_submit_ind","Subscriber HRA Allocation","HRA Submit Method","char"
"dbo","cmc_sbal_hsa_alloc","hsal_non_ann_pro","Subscriber HRA Allocation","Non-Anniversary Prorate Indicator","char"
"dbo","cmc_sbal_hsa_alloc","hsal_red_alloc_ind","Subscriber HRA Allocation","Reduction in Allocation Indicator","char"
"dbo","cmc_sbal_hsa_alloc","sbal_lock_token","Subscriber HRA Allocation","Lock Token","smallint"
"dbo","cmc_sbal_hsa_alloc","atxr_source_id","Subscriber HRA Allocation","Attachment Source Id","datetime"
