"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_sbbd_bat_def","sbbd_batch_id","Subscriber ID Conversion Batch Definition Table","Batch ID","char"
"dbo","cmc_sbbd_bat_def","sbbd_desc","Subscriber ID Conversion Batch Definition Table","Batch Definition","varchar"
"dbo","cmc_sbbd_bat_def","sbbd_source_cd","Subscriber ID Conversion Batch Definition Table","Repalcement Source ID","char"
"dbo","cmc_sbbd_bat_def","sbbd_dest_cd","Subscriber ID Conversion Batch Definition Table","Legacy ID Destination","char"
"dbo","cmc_sbbd_bat_def","sbbd_replace_cd","Subscriber ID Conversion Batch Definition Table","Replacement Rule","char"
"dbo","cmc_sbbd_bat_def","sbbd_gr_select_cd","Subscriber ID Conversion Batch Definition Table","Group Selectivity","char"
"dbo","cmc_sbbd_bat_def","sbbd_renew_mo","Subscriber ID Conversion Batch Definition Table","Renewal Month","smallint"
"dbo","cmc_sbbd_bat_def","grgr_mctr_type","Subscriber ID Conversion Batch Definition Table","User Defined Group Type","char"
"dbo","cmc_sbbd_bat_def","sbbd_sts","Subscriber ID Conversion Batch Definition Table","Status","char"
"dbo","cmc_sbbd_bat_def","usus_id","Subscriber ID Conversion Batch Definition Table","User Identifier","char"
"dbo","cmc_sbbd_bat_def","sbbd_prcs_dtm","Subscriber ID Conversion Batch Definition Table","Process Date","datetime"
"dbo","cmc_sbbd_bat_def","sbbd_lock_token","Subscriber ID Conversion Batch Definition Table","Lock Token","smallint"
"dbo","cmc_sbbd_bat_def","atxr_source_id","Subscriber ID Conversion Batch Definition Table","Attachment Source Id","datetime"
