"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_sbel_elig_ent","sbsb_ck","Subscriber Eligibility Event Data","Subscriber Contrived Key","int"
"dbo","cmc_sbel_elig_ent","sbel_eff_dt","Subscriber Eligibility Event Data","Subscriber Eligibility Effective Date","datetime"
"dbo","cmc_sbel_elig_ent","sbel_insq_dt","Subscriber Eligibility Event Data","Subscriber Eligibility In Sequence Date","datetime"
"dbo","cmc_sbel_elig_ent","grgr_ck","Subscriber Eligibility Event Data","Group Contrived Key","int"
"dbo","cmc_sbel_elig_ent","sbel_elig_type","Subscriber Eligibility Event Data","Subscriber Eligibility Type","char"
"dbo","cmc_sbel_elig_ent","cspd_cat","Subscriber Eligibility Event Data","Class Product Category","char"
"dbo","cmc_sbel_elig_ent","cspi_id","Subscriber Eligibility Event Data","Class Plan Identifier","char"
"dbo","cmc_sbel_elig_ent","sbel_fi","Subscriber Eligibility Event Data","Family Indicator","char"
"dbo","cmc_sbel_elig_ent","excd_id","Subscriber Eligibility Event Data","Explanation Code","char"
"dbo","cmc_sbel_elig_ent","sbel_mctr_rsn","Subscriber Eligibility Event Data","Eligibility Reason","char"
"dbo","cmc_sbel_elig_ent","sbel_void_ind","Subscriber Eligibility Event Data","Void Event","char"
"dbo","cmc_sbel_elig_ent","sbel_mctr_orsn","Subscriber Eligibility Event Data","Reinstatement Override Reason","char"
"dbo","cmc_sbel_elig_ent","usus_id","Subscriber Eligibility Event Data","User Identifier","char"
"dbo","cmc_sbel_elig_ent","sbel_update_dtm","Subscriber Eligibility Event Data","Update date time","datetime"
"dbo","cmc_sbel_elig_ent","sbel_lock_token","Subscriber Eligibility Event Data","Lock Token","smallint"
"dbo","cmc_sbel_elig_ent","atxr_source_id","Subscriber Eligibility Event Data","Attachment Source Id","datetime"
"dbo","cmc_sbel_elig_ent","sbel_rate_as_ind_nvl","Subscriber Eligibility Event Data","Rate Member as Indicator","char"
"dbo","cmc_sbel_elig_ent","sbel_mctr_vrsn_nvl","Subscriber Eligibility Event Data","Void Reason Code","char"
