"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_sbwm_sb_msg","sbsb_ck","Subscriber Level Warning Messages","Subscriber Contrived Key","int"
"dbo","cmc_sbwm_sb_msg","sbwm_eff_dt","Subscriber Level Warning Messages","Effective Date","datetime"
"dbo","cmc_sbwm_sb_msg","wmds_seq_no","Subscriber Level Warning Messages","Message ID","smallint"
"dbo","cmc_sbwm_sb_msg","sbwm_term_dt","Subscriber Level Warning Messages","Termination Date","datetime"
"dbo","cmc_sbwm_sb_msg","sbwm_mctr_trsn","Subscriber Level Warning Messages","Termination Reason","char"
"dbo","cmc_sbwm_sb_msg","grgr_ck","Subscriber Level Warning Messages","Group Contrived Key","int"
"dbo","cmc_sbwm_sb_msg","sbwm_lock_token","Subscriber Level Warning Messages","Lock Token","smallint"
"dbo","cmc_sbwm_sb_msg","atxr_source_id","Subscriber Level Warning Messages","Attachment Source Id","datetime"
"dbo","cmc_sbwm_sb_msg","sys_last_upd_dtm","Subscriber Level Warning Messages","Last Update Datetime","datetime"
"dbo","cmc_sbwm_sb_msg","sys_usus_id","Subscriber Level Warning Messages","Last Update User ID","varchar"
"dbo","cmc_sbwm_sb_msg","sys_dbuser_id","Subscriber Level Warning Messages","Last Update DBMS User ID","varchar"
