"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_sgsg_sub_group","sgsg_ck","Subgroup Indicative Data","Subgroup Contrived Key","int"
"dbo","cmc_sgsg_sub_group","grgr_ck","Subgroup Indicative Data","Group Contrived Key","int"
"dbo","cmc_sgsg_sub_group","sgsg_id","Subgroup Indicative Data","Subgroup Identifier","char"
"dbo","cmc_sgsg_sub_group","sgsg_name","Subgroup Indicative Data","Subgroup Name","char"
"dbo","cmc_sgsg_sub_group","sgsg_addr1","Subgroup Indicative Data","Subgroup Address Line 1","char"
"dbo","cmc_sgsg_sub_group","sgsg_addr2","Subgroup Indicative Data","Subgroup Address Line 2","char"
"dbo","cmc_sgsg_sub_group","sgsg_addr3","Subgroup Indicative Data","Subgroup Address Line 3","char"
"dbo","cmc_sgsg_sub_group","sgsg_city","Subgroup Indicative Data","Subgroup","char"
"dbo","cmc_sgsg_sub_group","sgsg_state","Subgroup Indicative Data","State","char"
"dbo","cmc_sgsg_sub_group","sgsg_zip","Subgroup Indicative Data","Zip Code","char"
"dbo","cmc_sgsg_sub_group","sgsg_county","Subgroup Indicative Data","County","char"
"dbo","cmc_sgsg_sub_group","sgsg_ctry_cd","Subgroup Indicative Data","Country","char"
"dbo","cmc_sgsg_sub_group","sgsg_phone","Subgroup Indicative Data","Subgroup Phone Number","char"
"dbo","cmc_sgsg_sub_group","sgsg_phone_ext","Subgroup Indicative Data","Phone Extension","char"
"dbo","cmc_sgsg_sub_group","sgsg_fax","Subgroup Indicative Data","Subgroup Fax Number","char"
"dbo","cmc_sgsg_sub_group","sgsg_fax_ext","Subgroup Indicative Data","Fax Extension","char"
"dbo","cmc_sgsg_sub_group","sgsg_email","Subgroup Indicative Data","Email","char"
"dbo","cmc_sgsg_sub_group","sgsg_mctr_type","Subgroup Indicative Data","Subgroup Type","char"
"dbo","cmc_sgsg_sub_group","sgsg_mctr_vip","Subgroup Indicative Data","VIP Type","char"
"dbo","cmc_sgsg_sub_group","cscs_id","Subgroup Indicative Data","Class Identifier","char"
"dbo","cmc_sgsg_sub_group","sgsg_sts","Subgroup Indicative Data","Subgroup Status","char"
"dbo","cmc_sgsg_sub_group","sgsg_orig_eff_dt","Subgroup Indicative Data","Subgroup Original Effective Date","datetime"
"dbo","cmc_sgsg_sub_group","sgsg_term_dt","Subgroup Indicative Data","Subgroup Termination Date","datetime"
"dbo","cmc_sgsg_sub_group","sgsg_mctr_trsn","Subgroup Indicative Data","Subgroup Termination Reason","char"
"dbo","cmc_sgsg_sub_group","excd_id","Subgroup Indicative Data","Explanation Code","char"
"dbo","cmc_sgsg_sub_group","sgsg_rnst_dt","Subgroup Indicative Data","Subgroup Reinstatement Date","datetime"
"dbo","cmc_sgsg_sub_group","sgsg_conv_dt","Subgroup Indicative Data","Subgroup Conversion Date","datetime"
"dbo","cmc_sgsg_sub_group","sgsg_renew_mmdd","Subgroup Indicative Data","Renewal Date","smallint"
"dbo","cmc_sgsg_sub_group","sgsg_prev_annv_dt","Subgroup Indicative Data","Prior Anniversary","datetime"
"dbo","cmc_sgsg_sub_group","sgsg_curr_annv_dt","Subgroup Indicative Data","Current Anniversary Date","datetime"
"dbo","cmc_sgsg_sub_group","sgsg_next_annv_dt","Subgroup Indicative Data","Next Anniversary","datetime"
"dbo","cmc_sgsg_sub_group","sgsg_mctr_ptyp","Subgroup Indicative Data","Subgroup Policy Type","char"
"dbo","cmc_sgsg_sub_group","sgsg_undw_usus_id","Subgroup Indicative Data","Underwriter User ID","char"
"dbo","cmc_sgsg_sub_group","sgsg_bl_conv_dt","Subgroup Indicative Data","Billing Conversion Date","datetime"
"dbo","cmc_sgsg_sub_group","sgsg_name_xlow","Subgroup Indicative Data","Name search case insensitive","char"
"dbo","cmc_sgsg_sub_group","sgsg_city_xlow","Subgroup Indicative Data","City search case insensitive","char"
"dbo","cmc_sgsg_sub_group","sgsg_mctr_lang","Subgroup Indicative Data","Subgroup language","char"
"dbo","cmc_sgsg_sub_group","sgsg_extn_addr_ind","Subgroup Indicative Data","Subgroup external address indicator","char"
"dbo","cmc_sgsg_sub_group","wmds_seq_no","Subgroup Indicative Data","Warning Message","smallint"
"dbo","cmc_sgsg_sub_group","sgsg_total_empl","Subgroup Indicative Data","Total Number of Employees","int"
"dbo","cmc_sgsg_sub_group","sgsg_total_elig","Subgroup Indicative Data","Total Number of Eligible Employees","int"
"dbo","cmc_sgsg_sub_group","sgsg_total_contr","Subgroup Indicative Data","Total Number of Contracts","int"
"dbo","cmc_sgsg_sub_group","sgsg_pol_no","Subgroup Indicative Data","Policy Code","char"
"dbo","cmc_sgsg_sub_group","sgsg_ein","Subgroup Indicative Data","Employer Identification Number","char"
"dbo","cmc_sgsg_sub_group","sgsg_eris_mmdd","Subgroup Indicative Data","ERISA Plan Year","smallint"
"dbo","cmc_sgsg_sub_group","sgsg_recd_dt","Subgroup Indicative Data","Received Date","datetime"
"dbo","cmc_sgsg_sub_group","sgsg_runout_dt","Subgroup Indicative Data","Subgroup Claim Runout Date","datetime"
"dbo","cmc_sgsg_sub_group","sgsg_runout_excd","Subgroup Indicative Data","Subgroup Claim Runout Explanation Code","char"
"dbo","cmc_sgsg_sub_group","sgsg_trans_accept","Subgroup Indicative Data","Subgroup Accumulator Transfer Acceptance Indicator","char"
"dbo","cmc_sgsg_sub_group","sgsg_cont_eff_dt","Subgroup Indicative Data","Contract Effective date","datetime"
