"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_spkg_svc_pack","pdbc_pfx","Service Packages","Prefix","char"
"dbo","cmc_spkg_svc_pack","spkg_id","Service Packages","Service Package ID","char"
"dbo","cmc_spkg_svc_pack","spkg_seq_no","Service Packages","Sequence Number","smallint"
"dbo","cmc_spkg_svc_pack","spkg_desc","Service Packages","Description","varchar"
"dbo","cmc_spkg_svc_pack","spkg_comb_chg_ind","Service Packages","Combine Charges Indicator","char"
"dbo","cmc_spkg_svc_pack","spkg_level_ind","Service Packages","Service Package Level","char"
"dbo","cmc_spkg_svc_pack","spkg_lock_token","Service Packages","Lock Token","smallint"
"dbo","cmc_spkg_svc_pack","atxr_source_id","Service Packages","Attachment Source Id","datetime"
"dbo","cmc_spkg_svc_pack","sys_last_upd_dtm","Service Packages","Last Update Datetime","datetime"
"dbo","cmc_spkg_svc_pack","sys_usus_id","Service Packages","Last Update User ID","varchar"
"dbo","cmc_spkg_svc_pack","sys_dbuser_id","Service Packages","Last Update DBMS User ID","varchar"
