"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_syrc_run_ctrl","syrc_process_id","Run Control","N/A","char"
"dbo","cmc_syrc_run_ctrl","syrc_step_id","Run Control","N/A","char"
"dbo","cmc_syrc_run_ctrl","syrc_database_id","Run Control","n/a","char"
"dbo","cmc_syrc_run_ctrl","syrc_create_dt","Run Control","n/a","datetime"
"dbo","cmc_syrc_run_ctrl","syrc_last_run_dt","Run Control","n/a","datetime"
"dbo","cmc_syrc_run_ctrl","syrc_last_from_dt","Run Control","n/a","datetime"
"dbo","cmc_syrc_run_ctrl","syrc_last_thru_dt","Run Control","n/a","datetime"
"dbo","cmc_syrc_run_ctrl","syrc_vari_parms_1","Run Control","n/a","varchar"
"dbo","cmc_syrc_run_ctrl","syrc_vari_parms_2","Run Control","n/a","varchar"
"dbo","cmc_syrc_run_ctrl","syrc_lock_token","Run Control","Lock Token","smallint"
