"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_trec_children","tree_id","Customer Service Tree Navigation Detail","Tree Identifier","char"
"dbo","cmc_trec_children","tree_parent_id","Customer Service Tree Navigation Detail","Parent or Root Tree Identifier","char"
"dbo","cmc_trec_children","trec_child_id","Customer Service Tree Navigation Detail","Leaf Identifier","char"
"dbo","cmc_trec_children","mcpd_source","Customer Service Tree Navigation Detail","Source ID","char"
"dbo","cmc_trec_children","trec_desc","Customer Service Tree Navigation Detail","Description","varchar"
"dbo","cmc_trec_children","trec_add_desc_tag","Customer Service Tree Navigation Detail","Additional Description Tag","char"
"dbo","cmc_trec_children","trec_association","Customer Service Tree Navigation Detail","Association","char"
"dbo","cmc_trec_children","trec_order","Customer Service Tree Navigation Detail","Order","smallint"
"dbo","cmc_trec_children","pzap_app_id","Customer Service Tree Navigation Detail","Application ID","char"
"dbo","cmc_trec_children","trec_num","Customer Service Tree Navigation Detail","Number","int"
"dbo","cmc_trec_children","trec_recur_id","Customer Service Tree Navigation Detail","Recur ID","varchar"
"dbo","cmc_trec_children","trec_addl_data1","Customer Service Tree Navigation Detail","Additional Data","varchar"
"dbo","cmc_trec_children","trec_lock_token","Customer Service Tree Navigation Detail","Lock Token","smallint"
"dbo","cmc_trec_children","atxr_source_id","Customer Service Tree Navigation Detail","Attachment Source Id","datetime"
