"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_umcl_cost_log","umum_ref_id","Prospective UM Cost Savings Data","Reference ID","char"
"dbo","cmc_umcl_cost_log","umcl_seq_no","Prospective UM Cost Savings Data","Cost Sequence Number","smallint"
"dbo","cmc_umcl_cost_log","umcl_from_dt","Prospective UM Cost Savings Data","UM Cost From Date","datetime"
"dbo","cmc_umcl_cost_log","umcl_to_dt","Prospective UM Cost Savings Data","UM Cost To Date","datetime"
"dbo","cmc_umcl_cost_log","umcl_mctr_cost","Prospective UM Cost Savings Data","UM Cost Type","char"
"dbo","cmc_umcl_cost_log","umcl_proj_cost","Prospective UM Cost Savings Data","UM Projected Cost","money"
"dbo","cmc_umcl_cost_log","umcl_act_cost","Prospective UM Cost Savings Data","UM Actual Cost","money"
"dbo","cmc_umcl_cost_log","umcl_mctr_csts","Prospective UM Cost Savings Data","UM Cost Status","char"
"dbo","cmc_umcl_cost_log","umcl_last_upd_dtm","Prospective UM Cost Savings Data","Last Update Datetime UM Cost","datetime"
"dbo","cmc_umcl_cost_log","umcl_last_upd_usid","Prospective UM Cost Savings Data","Last Update UM Cost User ID","char"
"dbo","cmc_umcl_cost_log","umcl_lock_token","Prospective UM Cost Savings Data","Lock Token","smallint"
"dbo","cmc_umcl_cost_log","atxr_source_id","Prospective UM Cost Savings Data","Attachment Source Id","datetime"
