"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_umif_its_conf","umum_ref_id","UM Confinement ITS POS Notification","Reference ID","char"
"dbo","cmc_umif_its_conf","meme_ck","UM Confinement ITS POS Notification","Member Contrived Key","int"
"dbo","cmc_umif_its_conf","umif_its_sccf_no","UM Confinement ITS POS Notification","ITS SCCF Number","char"
"dbo","cmc_umif_its_conf","umif_dest_plan_cd","UM Confinement ITS POS Notification","ITS Destination Plan","char"
"dbo","cmc_umif_its_conf","umif_home_plan_cd","UM Confinement ITS POS Notification","ITS Home Plan Code","char"
"dbo","cmc_umif_its_conf","umif_last_upd_usid","UM Confinement ITS POS Notification","ITS NF Last Update User ID","char"
"dbo","cmc_umif_its_conf","umif_local_plan_cd","UM Confinement ITS POS Notification","ITS Local Plan Code","char"
"dbo","cmc_umif_its_conf","umif_nf_seq_no","UM Confinement ITS POS Notification","ITS NF Notification Error","smallint"
"dbo","cmc_umif_its_conf","umif_orgn_plan_cd","UM Confinement ITS POS Notification","ITS Originating Plan","char"
"dbo","cmc_umif_its_conf","umif_prcs_plan_cd","UM Confinement ITS POS Notification","ITS Processing Site plan code.","char"
"dbo","cmc_umif_its_conf","umif_processed_dt","UM Confinement ITS POS Notification","ITS Notification Process Date","datetime"
"dbo","cmc_umif_its_conf","umif_request_dt","UM Confinement ITS POS Notification","ITS Notification Request Date","datetime"
"dbo","cmc_umif_its_conf","umif_sts","UM Confinement ITS POS Notification","ITS NF Notification Status","char"
"dbo","cmc_umif_its_conf","umif_trans_type","UM Confinement ITS POS Notification","ITS NF Notification Type - Initial or Update","char"
"dbo","cmc_umif_its_conf","umif_addl_data","UM Confinement ITS POS Notification","ITS POS NF Additional Data","varchar"
"dbo","cmc_umif_its_conf","umif_lock_token","UM Confinement ITS POS Notification","Lock Token","smallint"
"dbo","cmc_umif_its_conf","atxr_source_id","UM Confinement ITS POS Notification","Attachment Source Id","datetime"
