"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_umnf_its_svc","umum_ref_id","UM Service ITS POS Notifications","Reference ID","char"
"dbo","cmc_umnf_its_svc","umsv_seq_no","UM Service ITS POS Notifications","UM Service Sequence Number","smallint"
"dbo","cmc_umnf_its_svc","meme_ck","UM Service ITS POS Notifications","Member Contrived Key","int"
"dbo","cmc_umnf_its_svc","umnf_its_sccf_no","UM Service ITS POS Notifications","ITS SCCF Number","char"
"dbo","cmc_umnf_its_svc","umnf_dest_plan_cd","UM Service ITS POS Notifications","ITS Destination Plan Code","char"
"dbo","cmc_umnf_its_svc","umnf_home_plan_cd","UM Service ITS POS Notifications","ITS Home Plan Code","char"
"dbo","cmc_umnf_its_svc","umnf_last_upd_usid","UM Service ITS POS Notifications","ITS NF Last Update User ID","char"
"dbo","cmc_umnf_its_svc","umnf_local_plan_cd","UM Service ITS POS Notifications","ITS Local Plan Code","char"
"dbo","cmc_umnf_its_svc","umnf_nf_seq_no","UM Service ITS POS Notifications","ITS NF Notification Error","smallint"
"dbo","cmc_umnf_its_svc","umnf_orgn_plan_cd","UM Service ITS POS Notifications","ITS Originating Plan","char"
"dbo","cmc_umnf_its_svc","umnf_prcs_plan_cd","UM Service ITS POS Notifications","ITS Processing Site Plan Code","char"
"dbo","cmc_umnf_its_svc","umnf_processed_dt","UM Service ITS POS Notifications","ITS NF Notification Process Date","datetime"
"dbo","cmc_umnf_its_svc","umnf_request_dt","UM Service ITS POS Notifications","ITS NF Notification Request Date","datetime"
"dbo","cmc_umnf_its_svc","umnf_sts","UM Service ITS POS Notifications","ITS NF Notification Status","char"
"dbo","cmc_umnf_its_svc","umnf_trans_type","UM Service ITS POS Notifications","ITS NF Notification Type - Initial or Update","char"
"dbo","cmc_umnf_its_svc","umnf_addl_data","UM Service ITS POS Notifications","ITS POS NF Additional Data","varchar"
"dbo","cmc_umnf_its_svc","umnf_lock_token","UM Service ITS POS Notifications","Lock Token","smallint"
"dbo","cmc_umnf_its_svc","atxr_source_id","UM Service ITS POS Notifications","Attachment Source Id","datetime"
