"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_umog_org","umum_ref_id","M&R Criteria Responses","Reference ID","char"
"dbo","cmc_umog_org","mrog_id","M&R Criteria Responses","ORG ID","char"
"dbo","cmc_umog_org","mrot_type","M&R Criteria Responses","ORG Type","char"
"dbo","cmc_umog_org","mrot_sub_type","M&R Criteria Responses","ORG's Alternate Setting","char"
"dbo","cmc_umog_org","mrot_seq_no","M&R Criteria Responses","ORG Text Sequence Number","smallint"
"dbo","cmc_umog_org","umog_act_ind","M&R Criteria Responses","Met/Not Met Action Indicator","char"
"dbo","cmc_umog_org","umog_mctr_mrog","M&R Criteria Responses","ORG's Action Reason","char"
"dbo","cmc_umog_org","umog_input_dt","M&R Criteria Responses","Input Date","datetime"
"dbo","cmc_umog_org","umog_lock_token","M&R Criteria Responses","Lock Token","smallint"
"dbo","cmc_umog_org","atxr_source_id","M&R Criteria Responses","Attachment Source Id","datetime"
