"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_uted_util","pdbc_pfx","Dental Utilization Edits Table","Dental Utilization Edits Benefit Component Prefix","char"
"dbo","cmc_uted_util","utut_cd","Dental Utilization Edits Table","Utilization Edit Code","char"
"dbo","cmc_uted_util","uted_seq_no","Dental Utilization Edits Table","Utilization Edits Sequence Number","smallint"
"dbo","cmc_uted_util","uted_per_rel_ind","Dental Utilization Edits Table","Dental Utilization Edits Relationship Indicator","char"
"dbo","cmc_uted_util","uted_dp_lvl","Dental Utilization Edits Table","Dental Utilization Edits Procedure Level","char"
"dbo","cmc_uted_util","uted_inc_fut_ind","Dental Utilization Edits Table","Dental Utilization Include Out-of-Sequence Indicator","char"
"dbo","cmc_uted_util","uted_inc_amt_ind","Dental Utilization Edits Table","Include Line-Items with Zero Allowable Amounts","char"
"dbo","cmc_uted_util","uted_action_ind","Dental Utilization Edits Table","Utilization Edit Action Indicator","char"
"dbo","cmc_uted_util","excd_id","Dental Utilization Edits Table","Dental Utilization Edit Result Explanation","char"
"dbo","cmc_uted_util","uted_per_ind","Dental Utilization Edits Table","Dental Utilization Edits Period Indicator","char"
"dbo","cmc_uted_util","uted_per_type","Dental Utilization Edits Table","Dental Utilization Edits Period Type","char"
"dbo","cmc_uted_util","uted_period","Dental Utilization Edits Table","Dental Utilization Edits Period","smallint"
"dbo","cmc_uted_util","utut_cd_rel1","Dental Utilization Edits Table","Related Utilization Code One","char"
"dbo","cmc_uted_util","utut_cd_rel2","Dental Utilization Edits Table","Related Utilization Code 2","char"
"dbo","cmc_uted_util","utut_cd_rel3","Dental Utilization Edits Table","Related Utilization Code 3","char"
"dbo","cmc_uted_util","uted_prpr_id_ind","Dental Utilization Edits Table","Provider Indicator","char"
"dbo","cmc_uted_util","uted_hist_link_ind","Dental Utilization Edits Table","History Link Indicator","char"
"dbo","cmc_uted_util","uted_hist_link_exc","Dental Utilization Edits Table","History Link Exceptions","char"
"dbo","cmc_uted_util","uted_surf_bypass","Dental Utilization Edits Table","Utilization Edit Bypass Surfaces","char"
"dbo","cmc_uted_util","uted_lock_token","Dental Utilization Edits Table","Lock Token","smallint"
"dbo","cmc_uted_util","atxr_source_id","Dental Utilization Edits Table","Attachment Source Id","datetime"
"dbo","cmc_uted_util","sys_last_upd_dtm","Dental Utilization Edits Table","Last Update Datetime","datetime"
"dbo","cmc_uted_util","sys_usus_id","Dental Utilization Edits Table","Last Update User ID","varchar"
"dbo","cmc_uted_util","sys_dbuser_id","Dental Utilization Edits Table","Last Update DBMS User ID","varchar"
