"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_vcfl_freq_lmt","pdbc_pfx","Service Groupings Limits","ervice Grouping Limits Prefix","char"
"dbo","cmc_vcfl_freq_lmt","svgr_id","Service Groupings Limits","Service Group Identifier","char"
"dbo","cmc_vcfl_freq_lmt","vcfl_network_ind","Service Groupings Limits","Network Indicator","char"
"dbo","cmc_vcfl_freq_lmt","sgla_id","Service Groupings Limits","Service Grouping Classification","char"
"dbo","cmc_vcfl_freq_lmt","vcfl_limit_type","Service Groupings Limits","Limit Type","char"
"dbo","cmc_vcfl_freq_lmt","vcfl_amount_basis","Service Groupings Limits","","char"
"dbo","cmc_vcfl_freq_lmt","vcfl_amount","Service Groupings Limits","Limit Amount","money"
"dbo","cmc_vcfl_freq_lmt","vcfl_count","Service Groupings Limits","Limit Count","smallint"
"dbo","cmc_vcfl_freq_lmt","vcfl_disq_lmt_type","Service Groupings Limits","Disqualifying Limit Type","char"
"dbo","cmc_vcfl_freq_lmt","vcfl_disq_amt","Service Groupings Limits","Disqualifying Limit Amount","money"
"dbo","cmc_vcfl_freq_lmt","vcfl_disq_cntr","Service Groupings Limits","Disqualifying Limit Count","smallint"
"dbo","cmc_vcfl_freq_lmt","vcfl_period","Service Groupings Limits","Quantity of the Limit Period Unit","smallint"
"dbo","cmc_vcfl_freq_lmt","vcfl_rel_per_ind","Service Groupings Limits","Period Indicator","char"
"dbo","cmc_vcfl_freq_lmt","vcfl_rel_type","Service Groupings Limits","Period Type","char"
"dbo","cmc_vcfl_freq_lmt","vcfl_calc_basis","Service Groupings Limits","Occurrence Calculation Basis","char"
"dbo","cmc_vcfl_freq_lmt","vcfl_occur_amt","Service Groupings Limits","Occurrence Amount","money"
"dbo","cmc_vcfl_freq_lmt","vcfl_occur_cnt","Service Groupings Limits","Occurrence Count","smallint"
"dbo","cmc_vcfl_freq_lmt","vcfl_prod_ind","Service Groupings Limits","Independent of Product Indicator","char"
"dbo","cmc_vcfl_freq_lmt","vcfl_freq_disp_ind","Service Groupings Limits","Display Service Groupings Frequency Indicator","char"
"dbo","cmc_vcfl_freq_lmt","vcfl_dis_excd_id","Service Groupings Limits","Disallow Explanation Code","char"
"dbo","cmc_vcfl_freq_lmt","vcfl_disq_excd_id","Service Groupings Limits","Disallow Explanation Code","char"
"dbo","cmc_vcfl_freq_lmt","vsal_id","Service Groupings Limits","Aggregate Limit Identifier","char"
"dbo","cmc_vcfl_freq_lmt","vcfl_lock_token","Service Groupings Limits","Lock Token","smallint"
"dbo","cmc_vcfl_freq_lmt","atxr_source_id","Service Groupings Limits","Attachment Source Id","datetime"
"dbo","cmc_vcfl_freq_lmt","sys_last_upd_dtm","Service Groupings Limits","Last Update Datetime","datetime"
"dbo","cmc_vcfl_freq_lmt","sys_usus_id","Service Groupings Limits","Last Update User ID","varchar"
"dbo","cmc_vcfl_freq_lmt","sys_dbuser_id","Service Groupings Limits","Last Update DBMS User ID","varchar"
