"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_wbat_web_attr","pdbc_pfx","Web Attributes Table","Prefix","char"
"dbo","cmc_wbat_web_attr","wbat_source","Web Attributes Table","Source","char"
"dbo","cmc_wbat_web_attr","wbat_type","Web Attributes Table","Type","char"
"dbo","cmc_wbat_web_attr","wbat_id","Web Attributes Table","ID","char"
"dbo","cmc_wbat_web_attr","wbat_seq_no","Web Attributes Table","Sequence Number","smallint"
"dbo","cmc_wbat_web_attr","wbat_eff_dt","Web Attributes Table","Effective Date","datetime"
"dbo","cmc_wbat_web_attr","wbat_term_dt","Web Attributes Table","Termination Date","datetime"
"dbo","cmc_wbat_web_attr","wbds_no","Web Attributes Table","Number","int"
"dbo","cmc_wbat_web_attr","wbds_lock_token","Web Attributes Table","Lock Token","smallint"
"dbo","cmc_wbat_web_attr","atxr_source_id","Web Attributes Table","Attachment Source Id","datetime"
"dbo","cmc_wbat_web_attr","sys_last_upd_dtm","Web Attributes Table","Last Update Datetime","datetime"
"dbo","cmc_wbat_web_attr","sys_usus_id","Web Attributes Table","Last Update User ID","varchar"
"dbo","cmc_wbat_web_attr","sys_dbuser_id","Web Attributes Table","Last Update DBMS User ID","varchar"
