"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_work_clk1_pay_med","clk1_row_id","Medical Claim Work Table","Row ID","numeric"
"dbo","cmc_work_clk1_pay_med","clcl_id","Medical Claim Work Table","Claim Identifier","char"
"dbo","cmc_work_clk1_pay_med","meme_ck","Medical Claim Work Table","Member Contrived Key","int"
"dbo","cmc_work_clk1_pay_med","grgr_ck","Medical Claim Work Table","Group Contrived Key","int"
"dbo","cmc_work_clk1_pay_med","sbsb_ck","Medical Claim Work Table","Subscriber Contrived Key","int"
"dbo","cmc_work_clk1_pay_med","sgsg_ck","Medical Claim Work Table","Subgroup Contrived Key","int"
"dbo","cmc_work_clk1_pay_med","clcl_cl_type","Medical Claim Work Table","Claim Type","char"
"dbo","cmc_work_clk1_pay_med","clcl_cl_sub_type","Medical Claim Work Table","Claim Sub Type","char"
"dbo","cmc_work_clk1_pay_med","clcl_cur_sts","Medical Claim Work Table","Claim Status","char"
"dbo","cmc_work_clk1_pay_med","nwnw_id","Medical Claim Work Table","Network ID","char"
"dbo","cmc_work_clk1_pay_med","clcl_pay_pr_ind","Medical Claim Work Table","Claim Assignment Indicator","char"
"dbo","cmc_work_clk1_pay_med","clcl_drag_dt","Medical Claim Work Table","Payment Drag Cycle Date","datetime"
