"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fhd_cdqf_fr_qual_d","cdtr_id","Code Translation Table From Qualifier Definition","Code Translation ID","char"
"dbo","fhd_cdqf_fr_qual_d","cdtr_pzcd_ttyp","Code Translation Table From Qualifier Definition","Type","char"
"dbo","fhd_cdqf_fr_qual_d","cdtr_pzcd_styp","Code Translation Table From Qualifier Definition","Sub Type","char"
"dbo","fhd_cdqf_fr_qual_d","cdtr_from_qual","Code Translation Table From Qualifier Definition","From Qualifier","char"
"dbo","fhd_cdqf_fr_qual_d","cdtr_fr_qual_descs","Code Translation Table From Qualifier Definition","From Qualifier Description","varchar"
"dbo","fhd_cdqf_fr_qual_d","cdqf_reserved","Code Translation Table From Qualifier Definition","Reserved","char"
"dbo","fhd_cdqf_fr_qual_d","cdqf_last_usus_id","Code Translation Table From Qualifier Definition","Last update User ID","char"
"dbo","fhd_cdqf_fr_qual_d","cdqf_last_upd_dtm","Code Translation Table From Qualifier Definition","Last update datetime","datetime"
"dbo","fhd_cdqf_fr_qual_d","cdqf_lock_token","Code Translation Table From Qualifier Definition","Lock Token","smallint"
"dbo","fhd_cdqf_fr_qual_d","atxr_source_id","Code Translation Table From Qualifier Definition","Attachment Source Id","datetime"
