"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fhd_cdqt_to_qual_d","cdtr_id","Code Translation To Qualifier Definition Table","Code Translation ID","char"
"dbo","fhd_cdqt_to_qual_d","cdtr_pzcd_ttyp","Code Translation To Qualifier Definition Table","Type","char"
"dbo","fhd_cdqt_to_qual_d","cdtr_pzcd_styp","Code Translation To Qualifier Definition Table","Sub type","char"
"dbo","fhd_cdqt_to_qual_d","cdtr_to_qual","Code Translation To Qualifier Definition Table","To Qualifer","char"
"dbo","fhd_cdqt_to_qual_d","cdtr_to_qual_descs","Code Translation To Qualifier Definition Table","To Qualifier Description","varchar"
"dbo","fhd_cdqt_to_qual_d","cdqt_reserved","Code Translation To Qualifier Definition Table","Reserved","char"
"dbo","fhd_cdqt_to_qual_d","cdqt_last_usus_id","Code Translation To Qualifier Definition Table","Last update User ID","char"
"dbo","fhd_cdqt_to_qual_d","cdqt_last_upd_dtm","Code Translation To Qualifier Definition Table","Last update date time","datetime"
"dbo","fhd_cdqt_to_qual_d","cdqt_lock_token","Code Translation To Qualifier Definition Table","Lock Token","smallint"
"dbo","fhd_cdqt_to_qual_d","atxr_source_id","Code Translation To Qualifier Definition Table","Attachment Source Id","datetime"
