"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fhd_dofl_file_x","dohd_ckn","Document File Table","Documents Contrived Key","numeric"
"dbo","fhd_dofl_file_x","dofl_file_name","Document File Table","Document File Name","varchar"
"dbo","fhd_dofl_file_x","dofl_file_loc","Document File Table","File Location","varchar"
"dbo","fhd_dofl_file_x","dofl_file_size","Document File Table","File Size","numeric"
"dbo","fhd_dofl_file_x","dofl_file_cr_dtm","Document File Table","File Create Date/Time","datetime"
"dbo","fhd_dofl_file_x","dofl_file_acc_dtm","Document File Table","Last Accessed Date/Time","datetime"
"dbo","fhd_dofl_file_x","dofl_file_mod_dtm","Document File Table","Last Modified Date/Time","datetime"
"dbo","fhd_dofl_file_x","dofl_reserved","Document File Table","Reserved","char"
"dbo","fhd_dofl_file_x","dofl_last_usus_id","Document File Table","Last User ID","char"
"dbo","fhd_dofl_file_x","dofl_last_upd_dtm","Document File Table","Last Update Date/Time","datetime"
"dbo","fhd_dofl_file_x","dofl_lock_token","Document File Table","Lock Token","smallint"
"dbo","fhd_dofl_file_x","atxr_source_id","Document File Table","Attachment Source Id","datetime"
