"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fhd_dots_txt_sto_x","dohd_ckn","Document Text Storage","Document Contrived Key","numeric"
"dbo","fhd_dots_txt_sto_x","dots_seq_nol","Document Text Storage","Document Text Sequence Number","int"
"dbo","fhd_dots_txt_sto_x","dots_text1","Document Text Storage","Document Text Field 1","varchar"
"dbo","fhd_dots_txt_sto_x","dots_text2","Document Text Storage","Document Text Field 2","varchar"
"dbo","fhd_dots_txt_sto_x","dots_text3","Document Text Storage","Document Text Field 3","varchar"
"dbo","fhd_dots_txt_sto_x","dots_text4","Document Text Storage","Document Text Field 4","varchar"
"dbo","fhd_dots_txt_sto_x","dots_text5","Document Text Storage","Document Text Field 5","varchar"
"dbo","fhd_dots_txt_sto_x","dots_text6","Document Text Storage","Document Text Field 6","varchar"
"dbo","fhd_dots_txt_sto_x","dots_text7","Document Text Storage","Document Text Field 7","varchar"
"dbo","fhd_dots_txt_sto_x","dots_reserved","Document Text Storage","Reserved","char"
"dbo","fhd_dots_txt_sto_x","dots_last_usus_id","Document Text Storage","Last User ID","char"
"dbo","fhd_dots_txt_sto_x","dots_last_upd_dtm","Document Text Storage","Last Update Date/Time","datetime"
"dbo","fhd_dots_txt_sto_x","dots_lock_token","Document Text Storage","Lock Token","smallint"
"dbo","fhd_dots_txt_sto_x","atxr_source_id","Document Text Storage","Attachment Source Id","datetime"
