"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fhd_enen_entity_d","enen_cke","Entity Definition","Entity Contrived Key","int"
"dbo","fhd_enen_entity_d","enct_ctyp","Entity Definition","Entity Class Type","char"
"dbo","fhd_enen_entity_d","enen_ext_indb","Entity Definition","External Entity Indicator","char"
"dbo","fhd_enen_entity_d","enen_ext_stor_indb","Entity Definition","External Storage Indicator","char"
"dbo","fhd_enen_entity_d","enen_security_grp","Entity Definition","Entity Security Group","varchar"
"dbo","fhd_enen_entity_d","enen_descs","Entity Definition","Entity Description","varchar"
"dbo","fhd_enen_entity_d","exen_rec","Entity Definition","External Entity Record","int"
"dbo","fhd_enen_entity_d","enen_reserved","Entity Definition","Reserved","char"
"dbo","fhd_enen_entity_d","enen_last_usus_id","Entity Definition","Last User ID","char"
"dbo","fhd_enen_entity_d","enen_last_upd_dtm","Entity Definition","Last Update Date/time","datetime"
"dbo","fhd_enen_entity_d","enen_lock_token","Entity Definition","Lock Token","smallint"
"dbo","fhd_enen_entity_d","atxr_source_id","Entity Definition","Attachment Source Id","datetime"
