"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fhd_exbt_method_u","exsy_id","External System Business Type Processing Method table","External System Identifier","char"
"dbo","fhd_exbt_method_u","exbt_pzcd_ptyp","External System Business Type Processing Method table","Processing Type","char"
"dbo","fhd_exbt_method_u","gtgt_pzcd_btyp","External System Business Type Processing Method table","Business Transaction Type","char"
"dbo","fhd_exbt_method_u","exbt_pzcd_mtyp","External System Business Type Processing Method table","Method Type","char"
"dbo","fhd_exbt_method_u","exbt_info1","External System Business Type Processing Method table","External system business type information","varchar"
"dbo","fhd_exbt_method_u","exbt_info2","External System Business Type Processing Method table","Additional external business type","varchar"
"dbo","fhd_exbt_method_u","exbt_info3","External System Business Type Processing Method table","Additional external business type","varchar"
"dbo","fhd_exbt_method_u","exbt_info4","External System Business Type Processing Method table","Additional external business type","varchar"
"dbo","fhd_exbt_method_u","exbt_reserved","External System Business Type Processing Method table","Reserved","char"
"dbo","fhd_exbt_method_u","exbt_last_usus_id","External System Business Type Processing Method table","Last Update User","char"
"dbo","fhd_exbt_method_u","exbt_last_upd_dtm","External System Business Type Processing Method table","Last Update Date Time","datetime"
"dbo","fhd_exbt_method_u","exbt_lock_token","External System Business Type Processing Method table","Lock Token","smallint"
"dbo","fhd_exbt_method_u","atxr_source_id","External System Business Type Processing Method table","Attachment Source Id","datetime"
