"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fhd_exen_base_d","exen_rec","External Entity Definition","External Entity Record ID","int"
"dbo","fhd_exen_base_d","exsy_id","External Entity Definition","External System ID","char"
"dbo","fhd_exen_base_d","enct_ctyp","External Entity Definition","Entity Class Type","char"
"dbo","fhd_exen_base_d","syct_exen_ctyp","External Entity Definition","External System Class Type","char"
"dbo","fhd_exen_base_d","enen_cke","External Entity Definition","Entity Contrived Key","int"
"dbo","fhd_exen_base_d","exen_create_dtm","External Entity Definition","Record Create Date/time","datetime"
"dbo","fhd_exen_base_d","exen_reserved","External Entity Definition","Reserved","char"
"dbo","fhd_exen_base_d","exen_last_usus_id","External Entity Definition","Last User ID","char"
"dbo","fhd_exen_base_d","exen_last_upd_dtm","External Entity Definition","Last Update Date/time","datetime"
"dbo","fhd_exen_base_d","exen_lock_token","External Entity Definition","Lock Token","smallint"
"dbo","fhd_exen_base_d","atxr_source_id","External Entity Definition","Attachment Source Id","datetime"
