"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fhd_exfm_fa_memb_d","exen_rec","External Facets Member Definition","External Entity Record Number","int"
"dbo","fhd_exfm_fa_memb_d","meme_ck","External Facets Member Definition","Member Contrived Key","int"
"dbo","fhd_exfm_fa_memb_d","meme_sfx","External Facets Member Definition","Member Suffix","smallint"
"dbo","fhd_exfm_fa_memb_d","meme_rel","External Facets Member Definition","Member Relationship","char"
"dbo","fhd_exfm_fa_memb_d","sbsb_ck","External Facets Member Definition","Facets Subscriber Contrived Key","int"
"dbo","fhd_exfm_fa_memb_d","sbsb_id","External Facets Member Definition","Facets Subscriber ID","char"
"dbo","fhd_exfm_fa_memb_d","grgr_ck","External Facets Member Definition","Facets Group Contrived Key","int"
"dbo","fhd_exfm_fa_memb_d","grgr_id","External Facets Member Definition","Facets Group ID","char"
"dbo","fhd_exfm_fa_memb_d","cici_id","External Facets Member Definition","Facets Client ID","char"
"dbo","fhd_exfm_fa_memb_d","exfm_reserved","External Facets Member Definition","Reserved","char"
"dbo","fhd_exfm_fa_memb_d","exfm_last_usus_id","External Facets Member Definition","Last User ID","char"
"dbo","fhd_exfm_fa_memb_d","exfm_last_upd_dtm","External Facets Member Definition","Last Update Date/time","datetime"
"dbo","fhd_exfm_fa_memb_d","exfm_lock_token","External Facets Member Definition","Lock Token","smallint"
"dbo","fhd_exfm_fa_memb_d","atxr_source_id","External Facets Member Definition","Attachment Source Id","datetime"
