"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fhd_exsc_sys_con_a","exsy_id","External System Connection Availability","External System ID","char"
"dbo","fhd_exsc_sys_con_a","exsc_pzcd_type","External System Connection Availability","Connection Type","char"
"dbo","fhd_exsc_sys_con_a","exsc_eff_dtm","External System Connection Availability","Effective Date","datetime"
"dbo","fhd_exsc_sys_con_a","exsc_term_dtm","External System Connection Availability","External System Date Time","datetime"
"dbo","fhd_exsc_sys_con_a","exsc_pzcd_trsn","External System Connection Availability","Termination Reason","char"
"dbo","fhd_exsc_sys_con_a","exsc_descs","External System Connection Availability","Description","varchar"
"dbo","fhd_exsc_sys_con_a","exsc_conn_info1","External System Connection Availability","Description","varchar"
"dbo","fhd_exsc_sys_con_a","exsc_conn_info2","External System Connection Availability","Description","varchar"
"dbo","fhd_exsc_sys_con_a","exsc_conn_info3","External System Connection Availability","Description","varchar"
"dbo","fhd_exsc_sys_con_a","exsc_conn_info4","External System Connection Availability","Description","varchar"
"dbo","fhd_exsc_sys_con_a","exsc_reserved","External System Connection Availability","Reserved","char"
"dbo","fhd_exsc_sys_con_a","exsc_last_usus_id","External System Connection Availability","Last User ID","char"
"dbo","fhd_exsc_sys_con_a","exsc_last_upd_dtm","External System Connection Availability","Last Update Date/Time","datetime"
"dbo","fhd_exsc_sys_con_a","exsc_lock_token","External System Connection Availability","Lock Token","smallint"
"dbo","fhd_exsc_sys_con_a","atxr_source_id","External System Connection Availability","Attachment Source Id","datetime"
