"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fhd_gtdd_doc_det_x","gtgt_ckn","Gateway Document Details Table","Business Transaction Contrived Key","numeric"
"dbo","fhd_gtdd_doc_det_x","gtdd_seq_nol","Gateway Document Details Table","Business Transaction Details Sequence Number","int"
"dbo","fhd_gtdd_doc_det_x","gtdd_pzcd_dtyp","Gateway Document Details Table","Document Detail Type","char"
"dbo","fhd_gtdd_doc_det_x","dohd_ckn","Gateway Document Details Table","Document Contrived Key","numeric"
"dbo","fhd_gtdd_doc_det_x","dots_seq_nol_beg","Gateway Document Details Table","Document Text Beginning Sequence Number","int"
"dbo","fhd_gtdd_doc_det_x","gtdd_offset","Gateway Document Details Table","Transaction Offset","int"
"dbo","fhd_gtdd_doc_det_x","gtdd_length","Gateway Document Details Table","Transaction Length","int"
"dbo","fhd_gtdd_doc_det_x","dots_seq_nol_end","Gateway Document Details Table","Document Text Ending Sequence Number","int"
"dbo","fhd_gtdd_doc_det_x","gtdd_reserved","Gateway Document Details Table","Reserved","char"
"dbo","fhd_gtdd_doc_det_x","gtdd_last_usus_id","Gateway Document Details Table","Last User ID","char"
"dbo","fhd_gtdd_doc_det_x","gtdd_last_upd_dtm","Gateway Document Details Table","Last Update Date/time","datetime"
"dbo","fhd_gtdd_doc_det_x","gtdd_lock_token","Gateway Document Details Table","Lock Token","smallint"
"dbo","fhd_gtdd_doc_det_x","atxr_source_id","Gateway Document Details Table","Attachment Source Id","datetime"
