"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fhd_gtgt_gen_txn_x","gtgt_ckn","Generic Gateway Transaction Table","Business Transaction Contrived Key","numeric"
"dbo","fhd_gtgt_gen_txn_x","gtgt_pzcd_ctyp","Generic Gateway Transaction Table","Business Transaction Class Type","char"
"dbo","fhd_gtgt_gen_txn_x","gtgt_pzcd_btyp","Generic Gateway Transaction Table","Business Transaction Type","char"
"dbo","fhd_gtgt_gen_txn_x","gtst_sts_curr","Generic Gateway Transaction Table","Current Status","int"
"dbo","fhd_gtgt_gen_txn_x","gtst_seq_nol","Generic Gateway Transaction Table","Status Sequence Number","int"
"dbo","fhd_gtgt_gen_txn_x","exsy_id_source","Generic Gateway Transaction Table","Source External System Identifier","char"
"dbo","fhd_gtgt_gen_txn_x","exsy_id_dest","Generic Gateway Transaction Table","Destination External System Identifier","char"
"dbo","fhd_gtgt_gen_txn_x","icic_ck","Generic Gateway Transaction Table","Interchange Contrived Key","int"
"dbo","fhd_gtgt_gen_txn_x","dohd_ckn","Generic Gateway Transaction Table","Document Contrived Key","numeric"
"dbo","fhd_gtgt_gen_txn_x","gtgt_sort_1","Generic Gateway Transaction Table","Sort 1","char"
"dbo","fhd_gtgt_gen_txn_x","gtgt_sort_2","Generic Gateway Transaction Table","Sort 2","char"
"dbo","fhd_gtgt_gen_txn_x","gtgt_sort_3","Generic Gateway Transaction Table","Sort 3","char"
"dbo","fhd_gtgt_gen_txn_x","gtgt_unit_ct","Generic Gateway Transaction Table","Transaction Unit Count","int"
"dbo","fhd_gtgt_gen_txn_x","gtgt_size","Generic Gateway Transaction Table","Transaction Size","numeric"
"dbo","fhd_gtgt_gen_txn_x","gtgt_doc_own_ind","Generic Gateway Transaction Table","Document Owned Indicator","char"
"dbo","fhd_gtgt_gen_txn_x","pzpz_id","Generic Gateway Transaction Table","Business Transaction Product ID","char"
"dbo","fhd_gtgt_gen_txn_x","pzap_app_id_last","Generic Gateway Transaction Table","Business Transaction Application ID","char"
"dbo","fhd_gtgt_gen_txn_x","syin_inst","Generic Gateway Transaction Table","Instance ID","bigint"
"dbo","fhd_gtgt_gen_txn_x","gtgt_reserved","Generic Gateway Transaction Table","Reserved","char"
"dbo","fhd_gtgt_gen_txn_x","gtgt_last_usus_id","Generic Gateway Transaction Table","Last User ID","char"
"dbo","fhd_gtgt_gen_txn_x","gtgt_last_upd_dtm","Generic Gateway Transaction Table","Last Update Date/time","datetime"
"dbo","fhd_gtgt_gen_txn_x","gtgt_lock_token","Generic Gateway Transaction Table","Lock Token","smallint"
"dbo","fhd_gtgt_gen_txn_x","atxr_source_id","Generic Gateway Transaction Table","Attachment Source Id","datetime"
