"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","fhd_gtre_rel_txn_r","gtgt_ckn","Gateway Transaction Relationship Table","Business Transaction Contrived Key","numeric"
"dbo","fhd_gtre_rel_txn_r","gtre_seq_nol","Gateway Transaction Relationship Table","Relationship Sequence Number","int"
"dbo","fhd_gtre_rel_txn_r","gtgt_ckn_rel","Gateway Transaction Relationship Table","Related Business Transaction Contrived Key","numeric"
"dbo","fhd_gtre_rel_txn_r","gtre_pzcd_rtyp","Gateway Transaction Relationship Table","Relationship Type","char"
"dbo","fhd_gtre_rel_txn_r","gtgt_pzcd_ctyp","Gateway Transaction Relationship Table","Business Transaction Class Type","char"
"dbo","fhd_gtre_rel_txn_r","gtgt_pzcd_ctyp_rel","Gateway Transaction Relationship Table","Related Business Transaction Class Type","char"
"dbo","fhd_gtre_rel_txn_r","pzpz_id","Gateway Transaction Relationship Table","Product ID","char"
"dbo","fhd_gtre_rel_txn_r","pzap_app_id","Gateway Transaction Relationship Table","Application ID","char"
"dbo","fhd_gtre_rel_txn_r","gtre_reserved","Gateway Transaction Relationship Table","Reserved","char"
"dbo","fhd_gtre_rel_txn_r","gtre_last_usus_id","Gateway Transaction Relationship Table","Last User ID","char"
"dbo","fhd_gtre_rel_txn_r","gtre_last_upd_dtm","Gateway Transaction Relationship Table","Last Update Date/time","datetime"
"dbo","fhd_gtre_rel_txn_r","gtre_lock_token","Gateway Transaction Relationship Table","Lock Token","smallint"
"dbo","fhd_gtre_rel_txn_r","atxr_source_id","Gateway Transaction Relationship Table","Attachment Source Id","datetime"
